Note	Frequency (125489 in total)
ahhhh	7
already	7
away	7
b]	7
back	7
bm23	7
bw	7
clandestine	7
classic	7
db	7
death	7
delayed	7
desync	7
discharge	7
doing	7
elim=>	7
ffs	7
forever	7
fresh	7
full	7
gives	7
gk	7
great	7
gtb	7
gw	7
had	7
hate	7
ig	7
ir	7
less	7
loses	7
made	7
markus	7
meant	7
otherwise	7
paying	7
piano	7
pp	7
rgm	7
sorry	7
t13	7
t25	7
t27	7
t45:	7
t49:	7
t7	7
troll	7
u1	7
uhhh	7
unplayable	7
y45	7
!124	6
!1]	6
!b3	6
!b]	6
!i5	6
!n5	6
!pg	6
!play	6
!py	6
!rm	6
!rp	6
13	6
14	6
4]	6
4t	6
5-save	6
5dp	6
[!3]	6
[1]	6
[24]	6
[a2]	6
[m]	6
[tccm]	6
allowed	6
b35	6
contextual	6
correct	6
cost	6
critical	6
dangerous	6
dani	6
defer	6
definitely	6
discarded	6
fey	6
fucked	6
gr	6
her	6
hmmmmmm	6
idea	6
ignition	6
implied	6
k34	6
katian	6
let's	6
lie	6
many	6
o.o	6
occam's	6
ofc	6
offf	6
over	6
patch	6
phew	6
pi	6
pl	6
prompted	6
r24	6
response	6
ryb	6
sacrifice	6
seen	6
shouldn't	6
single	6
sloppy	6
stupid	6
suspect	6
t19	6
t23	6
t24	6
t28	6
t52:	6
t53:	6
t55:	6
t8	6
take	6
terrible	6
totally	6
track	6
trusts	6
trying	6
understand	6
unintended	6
us	6
white	6
write	6
!g]	5
!gm	5
!i1	5
!o5	5
!p]	5
!pb	5
!r3	5
!r]	5
!rby	5
!t4	5
!y4	5
!yp	5
2345	5
5-pull	5
5k	5
[!u2]	5
[a]	5
[b34]	5
[c4]	5
[fixme]	5
[k]	5
[m5]	5
[n4]	5
[y	5
ak	5
although	5
always	5
ambiguous	5
anything	5
apply	5
assumed	5
async	5
ay	5
bbg	5
been	5
being	5
best	5
bk	5
bluffs	5
burn	5
cards	5
chris	5
conventionally	5
ct	5
defered	5
di	5
direct	5
drcm	5
earlier	5
everyone	5
fi	5
finessed	5
finesses	5
fpe	5
free	5
fully	5
g45	5
gm23	5
got	5
hakha	5
his	5
honored	5
i1>	5
i]	5
im	5
inversion	5
killed	5
killing	5
l5	5
left	5
legal	5
lose	5
m12	5
makes	5
n234	5
next	5
note	5
ooo	5
order	5
playful	5
py	5
realise	5
reasons	5
redis	5
respect	5
