Note	Frequency (49330 in total)
m2/3/5	3
m2/4/5	3
m3->	3
m3/4/5	3
m3/4/5?	3
m4+m5->	3
making	3
matching	3
mistakes	3
moment	3
n3/4/5	3
n5->	3
navy	3
nicely	3
non	3
noooooo	3
normal	3
normally	3
notice	3
null2	3
null5	3
o3->	3
ofi	3
oo	3
option	3
others	3
p/g4	3
p3->	3
p5->	3
part	3
perfect	3
perspective	3
piece	3
pipers	3
playables	3
potentially	3
protect	3
punk	3
pushes	3
quickly	3
r/b4	3
r/i1	3
r/m5	3
r1/s	3
r2->g2->	3
r2/4	3
r4e-)	3
reads	3
reds	3
required	3
resolve	3
ritz	3
rkass	3
row	3
ruined	3
scb	3
scenario	3
scharks	3
sees	3
set	3
shadow	3
she	3
situation	3
slowest	3
somethin	3
sonofabitch	3
soon	3
sooner	3
sorta	3
spend	3
strange	3
strike	3
stuff	3
suboptimal	3
subtle	3
suit	3
sweet	3
t17	3
t2->	3
t3/4/5	3
t33	3
t35	3
t37	3
t38	3
t40	3
t42	3
t45	3
t46	3
t48	3
t65	3
taking	3
tan4	3
thing	3
told	3
tricky	3
true	3
trusted	3
u4->	3
u4/5	3
u4/5->	3
ugh	3
unlock	3
use	3
used	3
variant	3
whatevs	3
whoopsies	3
wish	3
woops	3
worked	3
xmil	3
y/m4	3
!1	2
!3	2
!a	2
!y	2
#2	2
#2?	2
(not	2
15	2
18	2
2's	2
2+	2
23	2
2p	2
2x	2
3/4	2
3bluffs	2
50/50	2
7	2
80%	2
99.9%	2
:d	2
???	2
\\	2
a5	2
abandon	2
abuse	2
ahead	2
allll	2
applies	2
argue	2
asked	2
attempt	2
aware	2
awesome	2
b/g2	2
b/g3->	2
b/m1	2
b/m3	2
b/p	2
b/p2	2
b/p3	2
b1/m3	2
b2/3?	2
b2e	2
b3+g2	2
b3/m2	2
b4/m4	2
b4/r4	2
b4s	2
b5/4?	2
badly	2
banking	2
based	2
beautiful	2
becomes	2
begin	2
behind	2
bet	2
blaze	2
blook	2
bluff/	2
bom	2
c3	2
carunty	2
causes	2
charms	2
choose	2
claim	2
cleaner	2
cm/	2
cm;d	2
colors	2
comes	2
comin	2
comp	2
confirmed	2
confirms	2
confusing	2
confusion	2
convenient	2
course	2
criticals	2
d3	2
d4	2
dark	2
depending	2
desparate	2
desparately	2
dies	2
diff	2
digs	2
directly	2
dog	2
doin	2
drain	2
drawn	2
duck	2
dug	2
duper	2
easy	2
echo	2
eh/	2
ejected	2
end	2
exact	2
example	2
excited	2
excuse	2
exist	2
expected	2
explanation	2
far	2
fear	2
fill-in	2
finese	2
finessing	2
fischat	2
floriman	2
flush	2
fo	2
followed	2
forever	2
ftl	2
future	2
g/b2	2
g/b5	2
g/i2	2
