Note	Frequency (193362 in total)
die	14
exciting	14
expect	14
find	14
genuinely	14
help	14
i23	14
incoming	14
kakashi	14
keep	14
lack	14
last	14
lie	14
m345	14
n23	14
necessary	14
note	14
praying	14
quite	14
rb2	14
reasonable	14
redistribute	14
respond	14
ri1	14
seem	14
t52	14
t55	14
timo	14
u	14
until	14
when	14
write	14
yi	14
!g3	13
!i2	13
!y2	13
(probably	13
5nd	13
8	13
<----	13
???	13
[!y]	13
[2	13
[clued]	13
[cm]d	13
[i1]	13
[m]	13
[u]	13
b24	13
b5]	13
bluffs	13
bm	13
convinced	13
coulda	13
desperation	13
discussion:	13
end	13
felt	13
fortunately	13
fun	13
gm5	13
great	13
haha	13
hell	13
i34	13
i45	13
intended	13
l1	13
many	13
mine	13
okay	13
p45	13
pr	13
reads	13
rm5	13
save:	13
sees	13
stephen	13
strikes	13
suspicious	13
thank	13
theoretically	13
u4]	13
wb	13
ybp	13
!b1	12
!m2	12
(from	12
(lol	12
*could*	12
*or*	12
---	12
/o/	12
2/5a	12
2x	12
[!5]	12
[b3]?	12
[n3]	12
[p1]	12
[p2]	12
[u2]	12
[u4	12
[w]	12
ah	12
aha	12
async	12
banking	12
best	12
blindplay	12
bombed	12
call	12
clueme	12
confusing	12
dang	12
db	12
di	12
fishcat	12
fixes	12
g4]	12
garbage	12
giving	12
gm2	12
goes	12
gogo	12
gt	12
his	12
i4]	12
i]	12
k234	12
kind	12
lol)	12
m24	12
maaaaybe	12
maaybe	12
misplay	12
n345	12
over	12
owch	12
pace	12
pb	12
probs	12
r1m2	12
r5]	12
rb4	12
respect	12
ri4	12
round	12
rw	12
scb	12
scream:	12
sick	12
sns	12
t56	12
theory	12
took	12
transfer	12
utp	12
writes	12
!i3	11
!t	11
(maybe	11
------>	11
245	11
[!2]	11
afraid	11
ahead	11
anymore	11
big	11
blind	11
bm2	11
btw	11
extra	11
gg	11
heavily	11
holy	11
huxley	11
i5]	11
level	11
longer	11
losing	11
made	11
may	11
oook	11
priod	11
realized	11
redistribution	11
rev	11
rg3	11
rg4	11
risking	11
s5	11
sacrifice	11
screw	11
selfish	11
strange	11
t60	11
tbf	11
thinking	11
two	11
use	11
w]	11
wg	11
whether	11
whole	11
win	11
wow	11
}	11
!m	10
!n3	10
!y3	10
(i	10
(why	10
*very*	10
12	10
235	10
:	10
[!r]	10
[m5]	10
[n2]	10
[r3]?	10
[sdcm]?	10
[w2]	10
[w3]	10
[y5	10
before	10
br2	10
