Note	Frequency (13825 in total)
[!1][!3][!4][!5][r2]	1
[!1][!4][!3]	1
[!1][!4]r2/r3	1
[!1][!5][g4]	1
[!1][b4]	1
[!1][cm]	1
[!1]b3/b4/i3/m3...	1
[!2]	1
[!2][!3]	1
[!2][!i]	1
[!2][g3]	1
[!2][p3]	1
[!3]	1
[!4]	1
[!5][!1]	1
[!5][b2]	1
[!5]r4/r2	1
[!b][!r]	1
[!c][otd]	1
[!g]2	1
[!g][!o]	1
[!g][!p][!r?][b2]	1
[!g][!w][!y]	1
[!g][!y]	1
[!i]	1
[!m]	1
[!m]g2?	1
[!p]	1
[!p][!t][!y][g2]	1
[!p][!y][!r][g2?]	1
[!p][g4]	1
[!r][!b]	1
[!r][!g][k2]	1
[!r][kt]	1
[!t][!o][!n]2	1
[!y][!b]2	1
[!y][k3]	1
[!ybr]	1
[%]pp	1
[1]pp	1
[23]	1
[2]	1
[345]	1
[4][cm][p]	1
[5cm][y2]	1
[a3]	1
[b1]b1e	1
[b25]	1
[b2]?	1
[b2]b1e	1
[b3][!2]i3	1
[b3][cm]	1
[b3]cm	1
[b4][cm]	1
[b4][f]	1
[b4][kt]	1
[b5][cm]	1
[b]	1
[br]	1
[cm][!5]	1
[cm][!p]	1
[cm][!p][45]	1
[cm][!y]	1
[cm][!y][!n][!k][!r][g4]	1
[cm][!y][p234]	1
[cm][b5]	1
[cm][b]	1
[cm][i2]	1
[cm][i4]	1
[cm][olti]	1
[cm][p3]	1
[cm][r4]	1
[cm][r]	1
[cm][rp3]	1
[cm][t1]	1
[cm][y3?]	1
[cm][y4]	1
[cm]ed?	1
[cm]ok	1
[cm]w4?	1
[dc]	1
[f]1	1
[f]???	1
[f][1]	1
[f][a2]	1
[f][a3]	1
[f][b1][fixme]	1
[f][b2]cm	1
[f][c2]	1
[f][c3]	1
[f][f4]	1
[f][fixed][kt]	1
[f][g2][cm]	1
[f][i3]?	1
[f][i4]	1
[f][l3]	1
[f][l5]	1
[f][n2]	1
[f][n3]	1
[f][o2]	1
[f][o4]	1
[f][p3]?	1
[f][p5]	1
[f][r1]could	1
[f][r2/p2/b2/y1/g1]	1
[f][s4]	1
[f][t3]	1
[f][y5]	1
[f]g1?	1
[f]o2	1
[f]p1	1
[f]p3	1
[f]r1?	1
[f]r3	1
[f]r4	1
[f]t1	1
[fixme]??	1
[g1]	1
[g1]g1	1
[g2][cm]	1
[g2]pp	1
[g3]/r3/b3	1
[g3][fixme]	1
[g3][kt]	1
[g45	1
[gd][cm]	1
[gd][fixme]	1
[gd][g1]	1
[gd][g3]	1
[gd][g4]	1
[gd][i2]	1
[gd][i3]	1
[gd][i4]	1
[gd][l2]	1
[gd][m3]	1
[gd][m4]	1
[gd][n2]	1
[gd][n4]	1
[gd][o3]	1
[gd][p1]	1
[gd][t1]	1
[gd][t5]	1
[gd]r4]	1
[gy]	1
[i4]	1
[i5]cm	1
[il2]	1
[k34]	1
[k5]ce	1
[k]	1
[kt]1	1
[kt][cm]	1
[kt][f][b1]	1
[kt][t1]	1
[kt]b1e	1
[kt]blue	1
[kt]r3/p3	1
[l3][kt]	1
[m4]	1
[m4]not	1
[mr5]ce	1
[my5]ce	1
[n1][kt]	1
[n2]	1
[n4]	1
[n5]ce	1
[n5]n3/n4/n5	1
[o4]	1
[o5]o3	1
[ocm][b3]	1
[p3]p3	1
[p][g3]	1
[pt]	1
[py]	1
[r1]	1
[r2/p2/b2/g1][f]	1
[r2?]	1
[r2][ocm]	1
[r3][f]	1
[r3]fixed	1
[r3]r3	1
[r4][!1]definitely	1
[r4][!m]	1
[r5][cm]	1
[r5][kt]	1
[r5][kt]5	1
[r]	1
[rb4]	1
[rg4]	1
[s1][kt]	1
[s5]ce	1
[sdcm]	1
[sdcm][kt]	1
[t1]	1
[t4]	1
[t5]ce	1
[tccm]	1
[w3]	1
[w3]3	1
[w4]/g4	1
[y24]	1
[y2][f]	1
[y2][kt]	1
[y3]p3e	1
[y45]	1
[y4][!r]	1
a=254	1
afraid	1
ah	1
ahh	1
ahhhhhhhh	1
almost	1
along	1
already	1
also	1
another	1
anticipated	1
anymore	1
anything	1
appears)	1
ar5	1
are	1
assume	1
audlhliauhdlifwau	1
