Note	Frequency (186092 in total)
[f	10
accidentally	10
aggressive	10
anyi	10
assuming	10
b/y	10
b1/m2	10
b[cm]?	10
bluffing	10
bs	10
costs	10
d	10
dead	10
e1c	10
echo	10
emm	10
fills	10
forced	10
g/y	10
high	10
karen	10
lies	10
long	10
m24	10
marked	10
nor	10
one's	10
pb	10
possum	10
pref	10
prevent	10
promising	10
r2/m2	10
reds	10
rightmost	10
rp5	10
sd[cm]???	10
sean	10
shadow	10
t17	10
those	10
told	10
triple	10
unable	10
wish	10
worse	10
you'll	10
you've	10
~	10
!b1	9
!c3	9
!kt	9
!n	9
!o1	9
!y1	9
->	9
12	9
234	9
3m	9
4a	9
4p	9
5b	9
5k	9
agree	9
applies	9
btf	9
completely	9
d2c	9
dual	9
efficiency	9
fey	9
finesses	9
full	9
future	9
gi	9
gy	9
hmmmmmm	9
i!1	9
i345	9
ib	9
kevin's	9
lot	9
louie	9
love	9
lower	9
miss	9
non-sensical	9
ocm'd	9
os15	9
overwrite	9
p34	9
patience	9
pinks	9
prevention	9
put	9
r25	9
r345	9
reasonably	9
redundant	9
rm	9
rn	9
rscm	9
s2	9
score	9
seen	9
set	9
sick	9
slow	9
snatch	9
speedup	9
t57:	9
t59:	9
t60:	9
t61:	9
tempo'd	9
their	9
timing	9
toss1	9
u34	9
ughh	9
v	9
w/out	9
wr	9
write	9
wump	9
yp	9
(((	8
((((	8
1[cm]	8
3a	8
5r	8
5w	8
5y	8
?????	8
@t12	8
[f]?	8
[sccm]	8
against	8
ahh	8
asap	8
async	8
b/m1	8
b1/m1	8
b2/3	8
b234	8
blues	8
c2345	8
caused	8
certainly	8
choose	8
chose	8
confirmed	8
cont	8
d1c	8
d1r	8
delay	8
depending	8
different	8
dups	8
easily	8
eli	8
emily	8
f:	8
fixes	8
followup	8
fun	8
gdcm	8
gm	8
god	8
he's	8
hidden	8
highly	8
i24	8
idek	8
it'll	8
javi	8
k[cm]	8
l	8
leftmost	8
locking	8
lying	8
m2/5	8
m235	8
necessarily	8
oruc	8
p45	8
perspective	8
pick	8
previous	8
pushing	8
recluing	8
regardless	8
remember	8
s4	8
sacrifice	8
sd	8
seph's	8
seriously	8
soooo	8
stomp	8
stuff	8
suggests	8
t27	8
teal	8
telling	8
thank	8
there're	8
therefore	8
they're	8
tossable	8
tough	8
u23	8
u35	8
unclear	8
unecessary	8
unfixable	8
