Note	Frequency (49719 in total)
t26[cm]	5
t29	5
t2[f]	5
t30	5
t31[cm]	5
t31[kt]	5
t33	5
t36	5
t41:	5
t41[kt]	5
t4[kt]	5
t6[kt]	5
t7[f]	5
t7[kt]	5
t8[f]	5
udd	5
wanna	5
y24	5
y35	5
yikes	5
ym1	5
!4	4
!g1	4
!k1	4
!m1	4
!p2	4
(known	4
(prio	4
-4	4
34	4
3s	4
4]	4
4db	4
4pp	4
:cry:	4
[b4]	4
[f];	4
[p1]	4
[p3]	4
[unclued][f]	4
[y1]	4
[y3	4
[y4]	4
arguably	4
asym)	4
avoid	4
b15s	4
b2345	4
b24	4
bc	4
being	4
bluff;	4
br	4
carunty	4
considering	4
continuation	4
convinced	4
d:	4
discarded	4
elimination	4
enough	4
entertaining	4
exactly	4
expecting	4
extra	4
g1e	4
g24	4
g4]	4
garbage	4
generation	4
gi	4
god	4
going	4
gotten	4
gr	4
high	4
i'd	4
i2345	4
invert	4
inverted	4
jack	4
jesus	4
karen	4
kevin	4
killed	4
l3	4
l5	4
lack	4
lanvin	4
less	4
m234	4
m2345	4
m24	4
made	4
matches	4
meant	4
moved	4
nothing	4
omni	4
over	4
p2e	4
pestilent	4
play;	4
potential	4
prism	4
pulled	4
r3;	4
r4e	4
realize	4
reds	4
rgbi	4
safe	4
safety	4
save;	4
scb	4
self-finesse?	4
seriously	4
somehow	4
t12[kt]	4
t15	4
t15[kt]	4
t21[f]	4
t21[kt]	4
t22[cm]	4
t23[cm]	4
t23[kt]	4
t24[kt]	4
t25	4
t26	4
t28[kt]	4
t30[cm]	4
t33[kt]	4
t34[cm]	4
t34[f]	4
t35[cm]	4
t37[cm]	4
t38:	4
t46[cm]	4
t5[kt]	4
t8[kt]	4
thanks	4
timo	4
tried	4
try	4
until	4
us	4
utfcm	4
wants	4
when	4
would've	4
write	4
writes	4
y13	4
y234	4
y3x2	4
yep	4
ygbp	4
ygi	4
ym	4
yr	4
yw	4
!3	3
!b2?	3
!bm	3
!g5?	3
!g?	3
!i4	3
!m4	3
!n2	3
!y2	3
\"5	3
(3?)	3
(g4	3
(might	3
(p2)	3
-r	3
1's?	3
125	3
2's	3
3pp	3
5's	3
[4]	3
[b2	3
[cm]?	3
[g2	3
[g3	3
[g5]	3
[k2]	3
[m1]	3
[r5	3
[r]	3
[tccm]?	3
[u1	3
afraid	3
allow	3
allowed	3
already	3
amy	3
anything	3
avander	3
b13	3
b35	3
bit	3
bk5	3
blaze	3
blind-play	3
bm2	3
brown	3
bs	3
bw	3
cannot	3
clandestine	3
cluing	3
crazy	3
dani's	3
deduction	3
die	3
duplicate	3
earlier	3
easily	3
entertains	3
feeling	3
fine	3
finesses	3
force	3
g123	3
g234	3
g5]	3
gb1	3
gb4	3
gbi	3
gentleman's	3
gi2	3
global	3
gm4	3
go	3
gr1	3
great	3
gw	3
her	3
hesitating	3
hesitation	3
hidden	3
his	3
hmmm	3
hopeful	3
i23	3
ignition	3
immediately	3
indego	3
info	3
information	3
intentionally	3
k2345	3
kidding	3
kilda	3
least	3
lel	3
line	3
little	3
long	3
longer	3
looking	3
lot	3
low	3
lowest	3
m45	3
mama	3
man	3
markus	3
mega	3
mel	3
messed	3
n2345	3
n245	3
n45	3
n5e	3
need	3
needed	3
negative	3
nobody	3
nocm	3
occupied	3
ocm;	3
off	3
oop	3
p2345	3
pb	3
pdb	3
point	3
pp	3
praying	3
priority	3
prompted	3
quack	3
r13	3
r14	3
r235	3
r35	3
r3[f]	3
rachy	3
requires	3
ri3	3
rkass	3
rm	3
rm1	3
rs	3
rygt	3
sacrifice	3
scared	3
signal	3
spend	3
stall\"	3
stalling	3
stop	3
such	3
t14[kt]	3
t15[f]	3
t18[kt]	3
t1[kt]	3
t22	3
t22[kt]	3
t24[f]	3
t27[f]	3
t27[kt]	3
t30[f]	3
t31[f]	3
t32	3
t34[kt]	3
t35	3
t36[f]	3
t37[f]	3
t38[cm]	3
t39[kt]	3
t40	3
t40[f]	3
t42[cm]	3
t46:	3
t47[cm]	3
t48:	3
table	3
tabletalk	3
target	3
tc[cm]?	3
tell	3
theory	3
there's	3
thought	3
transfer	3
treat	3
trying	3
two	3
u5]	3
unknown	3
unlikely	3
untouched	3
utd	3
waiting	3
we'll	3
weak	3
whether	3
wonder	3
worth	3
xd	3
y245	3
y3e	3
yi	3
ys	3
!a	2
!i3	2
!k2	2
!m	2
!m3	2
!n3	2
!p3	2
!p4	2
!playable	2
!pry;	2
!r?	2
!u5	2
!y1	2
!y4	2
!y?	2
(4?)	2
(b1	2
(b4)	2
(bc	2
(can	2
(g	2
(hopefully	2
(i	2
(i2	2
(i4?)	2
(m2)	2
(maybe	2
(my	2
(no	2
(not	2
(oops)	2
(probs	2
(r5)	2
(weak	2
(y3)	2
--->?	2
-3;	2
01	2
1)	2
18	2
1cm	2
2+3	2
25	2
2;	2
5;	2
6}	2
90%	2
:d	2
:o	2
;	2
?1	2
?????	2
[!1]	2
[!b]	2
[!g2]	2
[!r2]	2
[!r5]	2
[5]?	2
[b3	2
[b4]?	2
[b5]	2
[cm].	2
[cm]???	2
[cm][u]	2
[cm]ed	2
[f].	2
[i3]	2
[kt]?	2
[m1	2
[m3]	2
[m]	2
[n2	2
[o3]	2
[r1]	2
[r2][f]	2
[r4]	2
[w3]	2
[y	2
[y5]	2
a5	2
above	2
accidental	2
action	2
af	2
agreed	2
ahead	2
ambiguous	2
anser	2
anymore	2
asaelr's	2
average	2
aw	2
awesome	2
aww	2
b25	2
b3;	2
b3]	2
b4]	2
b5>?	2
b]	2
begin	2
best	2
bi3	2
bk	2
blind-plays	2
blocked	2
blues	2
bluffed	2
bm5	2
bob	2
bp4	2
burn	2
bye	2
called	2
canclled	2
channel	2
chop-1	2
chop-2	2
chop-3	2
christ	2
clearer	2
close	2
closed	2
clue)	2
clued;	2
clueing	2
cming	2
cms	2
color)	2
conclude	2
consider	2
context;	2
d234	2
darth	2
dawn	2
db	2
dear	2
decided	2
decides	2
delayed	2
demonstation	2
demonstration	2
discard;	2
dmoney	2
doing	2
down	2
drew	2
dupes	2
duplication	2
echo	2
etc	2
everything	2
except	2
exist	2
fey	2
finessing	2
found	2
g13	2
g15	2
g1m2	2
g1s	2
g245	2
g25	2
g35	2
g4)	2
gba	2
gets	2
getting	2
gi3	2
gm	2
go1	2
goodbye	2
got	2
gpr	2
griff	2
gs	2
gtb	2
gwr	2
gy4	2
gy5	2
hahaha	2
hand)	2
hand:	2
happy	2
he's	2
hint	2
hmmmmmmm	2
hold	2
honzas	2
hooray	2
i'll	2
i1]	2
i2]	2
i3)	2
i345	2
ignore	2
ignoring	2
info)	2
intended	2
interpretation	2
jerry	2
jk	2
k12345	2
k134	2
ka	2
kakashi	2
kappa	2
kills	2
kindof	2
last	2
lmao	2
locked-hand	2
lpc;	2
m125	2
m2]	2
m34	2
m345	2
maaaybe	2
making	2
many	2
mark	2
marked	2
melwen's	2
misplay	2
miss	2
missing	2
mistaken	2
most	2
multi	2
n	2
n12	2
n12345	2
n1235	2
n23	2
n34	2
nevermind	2
o34	2
once	2
oru	2
p)	2
p234	2
p35	2
p3]	2
pablo's	2
parrot	2
pfp	2
playables	2
pogchamp	2
positonal	2
predict	2
presumably	2
principle	2
promises	2
prompt)	2
prompting	2
protect	2
purples	2
put	2
py	2
r25i5	2
r3>?	2
r3]	2
r4]	2
rbi	2
rce	2
reach	2
realizes	2
respect	2
responded	2
rgbp	2
rgy	2
ri5	2
ricardo	2
risky	2
rk	2
rm2	2
rp1	2
rubix	2
rule	2
rybp	2
rygb	2
s2	2
sad	2
seat	2
sees	2
self-bluff	2
self-color	2
self-finesse	2
self[cm]	2
selfish	2
shadow	2
sketchy	2
slightly	2
small	2
some	2
sooner	2
soooo	2
spending	2
spooked	2
squi	2
start	2
steals	2
stomped	2
strike	2
strongly	2
suppose	2
suspecting	2
swine	2
t10[kt]	2
t13[kt]	2
t18[cm][b4	2
t19[kt]	2
t24[cm]	2
t25[kt]	2
t26[kt]	2
t27	2
t27[cm]	2
t28	2
t2[kt]	2
t30[kt]	2
t30f	2
t32[kt]	2
t33[cm]	2
t33[f]	2
t36[kt]	2
t37	2
t38[f]	2
t40[kt]	2
t41	2
t41[f]	2
t43[f]	2
t46[kt]	2
t47	2
t47:	2
t49:	2
t49[cm]	2
t50	2
t51:	2
t53[kt]	2
taken	2
talk	2
tccm;	2
them	2
therefore	2
these	2
thinking	2
third	2
through	2
timing	2
touched	2
trash1e	2
trigger	2
true	2
twice	2
u	2
u1]	2
u2]	2
uhhh	2
understands	2
unecessary	2
unplayable	2
venhance	2
waited	2
wanted	2
wb	2
were	2
which	2
whole	2
writing	2
wrote	2
wump	2
y1;	2
y3)	2
ybm	2
yellow)	2
yk	2
you're	2
!12..	1
!25	1
!3?	1
!452??;	1
!5;	1
!5?	1
