Note	Frequency (31123 in total)
>2	1
??	1
[	1
[1]	1
[a2]?	1
[b1]	1
[b1]?	1
[b2]	1
[b4	1
[b4]?	1
[cm]-ed	1
[cm]this	1
[fixme]?	1
[g1]	1
[g2	1
[g5]	1
[i2]?	1
[i4]	1
[k3]	1
[kt]?	1
[m2]	1
[m3]	1
[m5]	1
[n2]	1
[n3]	1
[p2]	1
[p3]?	1
[p4	1
[p5]?	1
[r3]?	1
[r4	1
[r4]?	1
[rainbow3]?	1
[s2]	1
[t2]?	1
[t3]	1
[trash].	1
[u345]	1
[y1]	1
[y5]	1
[y]	1
^^	1
_also_	1
_should_	1
_so_	1
_were_	1
a4]	1
aaaaaand	1
aaaand	1
aaand	1
able	1
absolutely	1
accepting	1
advice	1
ahming	1
aim	1
allow	1
almost	1
almst	1
along	1
alphabeta	1
alright	1
alright:	1
although	1
amazing	1
ambitious	1
andrew's	1
animex'	1
annoying	1
answer	1
answer:	1
anxiety	1
aren'	1
aren't	1
as...b2?	1
as...b3	1
as...hmmm	1
as...m2	1
as...p2?	1
as...p4?	1
as...r1?	1
as...r2?	1
as...uh...	1
as...y3	1
asaelr's	1
asap	1
assumed	1
available	1
avanderwalde	1
avoid	1
avoiding	1
awake	1
b1)	1
b15	1
b3/b4?	1
b3s	1
b4]	1
b[4]?	1
baaaaad	1
back	1
bad:	1
basic	1
basically	1
beginning	1
best	1
better:	1
betting	1
blaze	1
blind-play?	1
blocked	1
bluf[f]	1
bluffing	1
bluffs...right?	1
bm23	1
bm3	1
bombing)	1
brave	1
bring	1
btw	1
btw)	1
bubblegums	1
c	1
c5	1
call	1
care	1
case	1
catula	1
cause	1
causing	1
certainly	1
choose	1
chop/finesse	1
chose	1
clever	1
clue:	1
clueable	1
cm-ed	1
cm-ing	1
cm...or	1
colored	1
come	1
committing	1
communicates	1
complicates	1
confuse	1
confuses	1
confusion	1
considered	1
copies	1
cory	1
costly	1
counting	1
crazy	1
cross	1
crossproduct	1
danger	1
dat	1
day	1
db	1
dead	1
decided	1
declined	1
deduce	1
deduction	1
delayed	1
delaying	1
demonstrating	1
derek's	1
desperate	1
desperation	1
desync	1
die	1
direct	1
discard/misplay	1
discard:	1
discards	1
discharge	1
dislike	1
doctorabi	1
doing	1
done	1
double-bluff	1
down	1
drawn	1
drew	1
drjones	1
duping	1
easiest	1
easy	1
eh	1
either	1
ejected	1
ejection)	1
ejections	1
emily	1
end	1
entail	1
especially	1
eventually	1
every	1
everywhere	1
exception	1
excused	1
exists	1
explains	1
explanation	1
f4	1
f]	1
fact	1
failed	1
fake	1
faster	1
fearless	1
feich's	1
figured	1
fill-in)	1
fill-in...	1
finessed	1
fire	1
fix)	1
floriman's	1
florrat	1
focused	1
force	1
forgetting	1
forgive	1
frosty	1
fun	1
future	1
fuu	1
g1).	1
g2!)	1
g2/r2	1
g3/g4?	1
g3]	1
g3g4	1
g4)	1
g4...or	1
g4/g5	1
g?)	1
gambling	1
gave	1
gds	1
generate	1
generated	1
generates	1
generating	1
gent's	1
gents	1
ghost	1
go	1
god	1
gone	1
gosh	1
guess)	1
guilt	1
guts	1
hanabi's	1
happening:	1
happy	1
hard	1
haven't	1
heey	1
hence	1
hesitating	1
hey	1
hi	1
hidden	1
himself	1
honest	1
hum	1
i34	1
i4/i3	1
i7	1
ignored	1
ignores	1
ignoring	1
im23	1
impeding	1
incredible	1
incredibly	1
indeed	1
info	1
initially	1
insane	1
interesting	1
interfere	1
inversed	1
inversion	1
isabel	1
it...is	1
jeff	1
jerryy's	1
jk	1
joel's	1
keeps	1
knooow	1
kodo	1
kyle's	1
l	1
lacking	1
late	1
leads	1
letting	1
libster	1
lied	1
literally	1
little	1
lol	1
loses	1
lost	1
lotem's	1
love	1
lvl	1
m1)	1
m1/m2?	1
m3/g3	1
m35	1
maaaaybe	1
manage	1
matching	1
maximum	1
mb23	1
me)	1
melwen)	1
melwen:	1
mine	1
misclick	1
misclued	1
misprompting	1
mistak	1
mistake...now	1
mistimed	1
misunderstanding	1
misunderstood	1
muddy	1
n	1
n157	1
n25	1
n3/n4	1
neg	1
nicely	1
non-playable	1
notice	1
null	1
o0	1
occam's	1
occupied)	1
occurred	1
ohp	1
oi3	1
ol'	1
omni	1
oo	1
ooo	1
ooook	1
oooooh	1
opener	1
ourselves	1
out-of-position	1
over-assume.	1
p1/p2	1
p1/y2)	1
p23	1
p24	1
p3/p4	1
p5/p7	1
pablo-?	1
padi	1
pang	1
panicking	1
passed	1
pimak	1
piper's	1
plan	1
play)	1
played...also	1
player	1
points	1
possibly	1
postmans	1
pov	1
prevent	1
previous	1
priori	1
pro	1
probable	1
probably:	1
probbly	1
prompted	1
prority	1
protects	1
punished	1
pure	1
put	1
putting	1
r2/r3.	1
r3/m3?	1
r4)	1
r4/g1	1
r4/r5	1
r4s	1
r5/p4	1
r[4]	1
r[5]?	1
rachy	1
ran	1
razor	1
