Players	Avg eff	Num of games	Link
kevincaseytdk1, Kyle, newsun	1.92	1	https://hanab.live/history/kevincaseytdk1/Kyle/newsun
kimbifille, pianoblook, scharkbite, squirrel1988, wump	1.92	1	https://hanab.live/history/kimbifille/pianoblook/scharkbite/squirrel1988/wump
lotem, Nitrate2, sin_faith, TimeHoodie	1.92	1	https://hanab.live/history/lotem/Nitrate2/sin_faith/TimeHoodie
maxeymo, sin_faith, TheDaniMan	1.92	1	https://hanab.live/history/maxeymo/sin_faith/TheDaniMan
Dr_Kakashi, Floriman, kimbifille, Valetta6789	1.91	4	https://hanab.live/history/Dr_Kakashi/Floriman/kimbifille/Valetta6789
4head, aitch2, kacasey1, Sturm	1.88	1	https://hanab.live/history/4head/aitch2/kacasey1/Sturm
ADrone, Floriman, kimbifille, pianoblook, piper	1.88	1	https://hanab.live/history/ADrone/Floriman/kimbifille/pianoblook/piper
Aluap, antitelharsic, nitawa, Sucubis, XMIL	1.88	1	https://hanab.live/history/Aluap/antitelharsic/nitawa/Sucubis/XMIL
Bot-Fiora, Dr_Kakashi, HelanaAshryvr, IAMJEFF, sin_faith	1.88	1	https://hanab.live/history/Bot-Fiora/Dr_Kakashi/HelanaAshryvr/IAMJEFF/sin_faith
ChristopheAF, indego, Pablo-, Sturm, Tailz	1.88	1	https://hanab.live/history/ChristopheAF/indego/Pablo-/Sturm/Tailz
DMoney, Dr_Kakashi, Fey, kimbifille, TimeHoodie	1.88	1	https://hanab.live/history/DMoney/Dr_Kakashi/Fey/kimbifille/TimeHoodie
DMoney, Dr_Kakashi, honzas, kimbifille, lotem, plus	1.88	1	https://hanab.live/history/DMoney/Dr_Kakashi/honzas/kimbifille/lotem/plus
DMoney, Dr_Kakashi, kimbifille, pianoblook	1.88	1	https://hanab.live/history/DMoney/Dr_Kakashi/kimbifille/pianoblook
Dr_Kakashi, Kyle, Pablo-, pianoblook, piper	1.88	1	https://hanab.live/history/Dr_Kakashi/Kyle/Pablo-/pianoblook/piper
Lel0uch, MarkusKahlsen, melwen, orucsoraihc, TimeHoodie	1.88	1	https://hanab.live/history/Lel0uch/MarkusKahlsen/melwen/orucsoraihc/TimeHoodie
Lel0uch, melwen, Ntalakas, ntinta, Takis	1.88	1	https://hanab.live/history/Lel0uch/melwen/Ntalakas/ntinta/Takis
ace201, Dr_Kakashi, MangoPie, MarkusKahlsen, TheDaniMan	1.88	1	https://hanab.live/history/ace201/Dr_Kakashi/MangoPie/MarkusKahlsen/TheDaniMan
ace201, frosty104, newduke	1.88	1	https://hanab.live/history/ace201/frosty104/newduke
bjnh, ksfortson, ReaverSe, wump, yuto	1.88	1	https://hanab.live/history/bjnh/ksfortson/ReaverSe/wump/yuto
cockdestroyer, melwen, wump	1.88	1	https://hanab.live/history/cockdestroyer/melwen/wump
derekcheah, micerang, newduke, Zakisan	1.88	1	https://hanab.live/history/derekcheah/micerang/newduke/Zakisan
dobi, Lanvin, melwen, scharkbite	1.88	1	https://hanab.live/history/dobi/Lanvin/melwen/scharkbite
eliclax, joelw, newduke	1.88	1	https://hanab.live/history/eliclax/joelw/newduke
emilyzhao, MarkusKahlsen, plus, Smandon, squidgetx	1.88	1	https://hanab.live/history/emilyzhao/MarkusKahlsen/plus/Smandon/squidgetx
hakha3, Kyle, sephiroth, TimeHoodie, Zakisan	1.88	1	https://hanab.live/history/hakha3/Kyle/sephiroth/TimeHoodie/Zakisan
indego, Lel0uch, MangoPie, melwen, sin_faith	1.88	1	https://hanab.live/history/indego/Lel0uch/MangoPie/melwen/sin_faith
4head, ace201, arv, joelw, newduke	1.85	1	https://hanab.live/history/4head/ace201/arv/joelw/newduke
DMoney, Kyle, timotree	1.85	1	https://hanab.live/history/DMoney/Kyle/timotree
Dr_Kakashi, kimbifille, TheDaniMan, TimeHoodie	1.85	1	https://hanab.live/history/Dr_Kakashi/kimbifille/TheDaniMan/TimeHoodie
Dr_Kakashi, kimbifille, padi, piper	1.85	1	https://hanab.live/history/Dr_Kakashi/kimbifille/padi/piper
ace201, frosty104, newduke, sin_faith	1.85	1	https://hanab.live/history/ace201/frosty104/newduke/sin_faith
kevincaseytdk1, level_23, MarkusKahlsen	1.85	1	https://hanab.live/history/kevincaseytdk1/level_23/MarkusKahlsen
Kyle, ReaverSe, sinuni_hung	1.84	3	https://hanab.live/history/Kyle/ReaverSe/sinuni_hung
bulbasaur, charmander, sin_faith, squirtle, superbipbip	1.83	2	https://hanab.live/history/bulbasaur/charmander/sin_faith/squirtle/superbipbip
kimbifille, pianoblook, piper, sjdrodge	1.83	3	https://hanab.live/history/kimbifille/pianoblook/piper/sjdrodge
