Variant	Variant id	Games	Total	Max scores
White-Ones & Prism (6 Suits)	1557	3	102	30
Brown-Ones & Prism (6 Suits)	1563	3	152	44
Brown-Ones & Dark Prism (6 Suits)	1567	3	31	8
Omni-Ones & Prism (5 Suits)	1570	3	14	4
Omni-Ones & Prism (3 Suits)	1572	3	7	2
Null-Ones & Prism (5 Suits)	1576	3	26	7
Light-Pink-Ones & Prism (6 Suits)	1587	3	34	9
Pink-Fives & Prism (4 Suits)	1601	3	31	8
Pink-Fives & Prism (3 Suits)	1602	3	16	5
Pink-Fives & Dark Prism (5 Suits)	1604	3	11	3
White-Fives & Prism (6 Suits)	1605	3	39	12
White-Fives & Prism (5 Suits)	1606	3	48	16
Brown-Fives & Prism (5 Suits)	1612	3	33	9
Brown-Fives & Prism (4 Suits)	1613	3	27	7
Omni-Fives & Prism (3 Suits)	1620	3	6	2
Null-Fives & Dark Prism (6 Suits)	1627	3	3	1
Muddy-Rainbow-Fives & Prism (5 Suits)	1630	3	20	6
Muddy-Rainbow-Fives & Prism (4 Suits)	1631	3	9	3
Synesthesia & Black (6 Suits)	1642	3	3	1
Dual-Color & Prism (6 Suits)	1649	3	112	35
Alternating Clues & Prism (6 Suits)	1652	3	31	8
Prism Reversed (6 Suits)	1663	3	253	66
Prism Reversed (4 Suits)	1665	3	80	26
Prism Reversed (3 Suits)	1666	3	77	23
Deceptive-Ones (6 Suits)	1671	3	135	36
Deceptive-Ones & Pink (6 Suits)	1681	3	17	5
Deceptive-Ones & Pink (4 Suits)	1683	3	21	7
Deceptive-Ones & White (6 Suits)	1685	3	30	9
Deceptive-Ones & White (4 Suits)	1687	3	18	5
Deceptive-Ones & Brown (6 Suits)	1689	3	18	5
Deceptive-Ones & Brown (4 Suits)	1691	3	13	4
Deceptive-Ones & Brown (3 Suits)	1692	3	7	2
Deceptive-Ones & Muddy Rainbow (6 Suits)	1701	3	7	2
Deceptive-Ones & Light Pink (4 Suits)	1707	3	6	2
Deceptive-Ones & Prism (6 Suits)	1709	3	22	7
Deceptive-Ones & Cocoa Rainbow (6 Suits)	1725	3	7	2
Deceptive-Fives (5 Suits)	1732	3	175	52
Deceptive-Fives & Rainbow (4 Suits)	1739	3	7	2
Deceptive-Fives & White (4 Suits)	1747	3	15	4
Deceptive-Fives & Brown (4 Suits)	1751	3	3	1
Deceptive-Fives & Omni (6 Suits)	1753	3	10	3
Deceptive-Fives & Omni (4 Suits)	1755	3	6	2
Deceptive-Fives & Omni (3 Suits)	1756	3	7	2
Deceptive-Fives & Light Pink (5 Suits)	1766	3	15	4
Deceptive-Fives & Prism (3 Suits)	1772	3	10	3
Synesthesia & Rainbow (4 Suits)	1791	3	25	8
Critical Fours (5 Suits)	1822	3	195	55
Critical Fours & Rainbow (5 Suits)	1824	3	60	17
Critical Fours & Brown (5 Suits)	1830	3	20	6
Critical Fours & Light Pink (6 Suits)	1837	3	15	5
Odds and Evens & Pink (6 Suits)	1846	3	7	2
White (4 Suits)	26	2	997	401
White (3 Suits)	27	2	817	281
Rainbow & White (4 Suits)	29	2	280	125
Color Blind (4 Suits)	34	2	61	21
Color Blind (3 Suits)	35	2	66	25
Dual-Color (3 Suits)	37	2	337	127
Pink-Fives (4 Suits)	49	2	104	43
Pink-Fives (3 Suits)	50	2	66	32
White & Brown (5 Suits)	80	2	316	118
White & Brown (4 Suits)	81	2	175	63
Color Mute (3 Suits)	113	2	33	14
Rainbow & Pink (4 Suits)	122	2	223	88
Pink & White (3 Suits)	126	2	149	55
Rainbow & White (3 Suits)	150	2	243	90
Light Pink (4 Suits)	166	2	422	148
Rainbow-Ones & Pink (5 Suits)	173	2	99	36
Alternating Clues (3 Suits)	286	2	58	25
Very Ambiguous (3 Suits)	287	2	110	38
Rainbow-Ones & Rainbow (5 Suits)	295	2	103	41
Rainbow-Ones & White (5 Suits)	299	2	140	53
Rainbow-Ones & White (4 Suits)	300	2	42	20
Rainbow-Ones & Brown (4 Suits)	304	2	36	13
Rainbow-Ones & Brown (3 Suits)	305	2	17	6
Rainbow-Ones & Omni (5 Suits)	307	2	38	13
Rainbow-Ones & Omni (4 Suits)	308	2	24	9
Rainbow-Ones & Omni (3 Suits)	309	2	6	3
Rainbow-Ones & Null (3 Suits)	313	2	6	3
Pink-Ones (5 Suits)	327	2	137	46
Pink-Ones (4 Suits)	328	2	66	24
Pink-Ones (3 Suits)	329	2	52	21
Pink-Ones & Rainbow (5 Suits)	331	2	33	15
Pink-Ones & White (5 Suits)	339	2	35	15
Pink-Ones & White (4 Suits)	340	2	20	10
Pink-Ones & White (3 Suits)	341	2	17	7
Pink-Ones & Brown (4 Suits)	344	2	44	16
Pink-Ones & Brown (3 Suits)	345	2	13	6
Pink-Ones & Omni (4 Suits)	348	2	17	6
Pink-Ones & Dark Omni (5 Suits)	363	2	10	4
White-Ones (6 Suits)	366	2	206	72
White-Ones (5 Suits)	367	2	249	101
White-Ones (4 Suits)	368	2	116	55
White-Ones & Rainbow (5 Suits)	371	2	137	56
White-Ones & Rainbow (4 Suits)	372	2	53	25
White-Ones & Rainbow (3 Suits)	373	2	36	17
White-Ones & Pink (6 Suits)	374	2	70	24
White-Ones & Pink (3 Suits)	377	2	12	5
White-Ones & White (5 Suits)	379	2	71	34
White-Ones & White (3 Suits)	381	2	29	14
White-Ones & Brown (5 Suits)	383	2	106	45
White-Ones & Brown (3 Suits)	385	2	20	8
White-Ones & Omni (5 Suits)	387	2	39	15
White-Ones & Omni (4 Suits)	388	2	17	8
White-Ones & Omni (3 Suits)	389	2	14	6
Brown-Ones (6 Suits)	406	2	105	47
Brown-Ones (4 Suits)	408	2	89	34
Brown-Ones (3 Suits)	409	2	47	19
Brown-Ones & Rainbow (3 Suits)	413	2	19	9
Brown-Ones & Pink (6 Suits)	414	2	50	17
Brown-Ones & Pink (5 Suits)	415	2	63	22
Brown-Ones & Pink (4 Suits)	416	2	30	12
Brown-Ones & Pink (3 Suits)	417	2	15	7
Brown-Ones & White (4 Suits)	420	2	27	12
Brown-Ones & White (3 Suits)	421	2	19	8
Brown-Ones & Brown (4 Suits)	424	2	17	7
Brown-Ones & Brown (3 Suits)	425	2	12	6
Brown-Ones & Null (5 Suits)	431	2	4	2
Brown-Ones & Null (4 Suits)	432	2	6	3
Omni-Ones (4 Suits)	448	2	43	17
Omni-Ones (3 Suits)	449	2	32	16
Omni-Ones & Rainbow (3 Suits)	453	2	8	3
Omni-Ones & Pink (6 Suits)	454	2	17	6
Omni-Ones & Pink (4 Suits)	456	2	9	4
Omni-Ones & White (4 Suits)	460	2	26	9
Omni-Ones & Omni (3 Suits)	469	2	10	5
Omni-Ones & Null (3 Suits)	473	2	2	1
Null-Ones (4 Suits)	488	2	46	22
Null-Ones & White (5 Suits)	499	2	21	10
Null-Ones & White (4 Suits)	500	2	18	9
Null-Ones & Brown (3 Suits)	505	2	4	2
Null-Ones & Omni (4 Suits)	508	2	5	2
Rainbow-Fives (5 Suits)	527	2	147	54
Rainbow-Fives & Rainbow (5 Suits)	531	2	40	15
Rainbow-Fives & Pink (3 Suits)	537	2	13	5
Rainbow-Fives & White (5 Suits)	539	2	64	26
Rainbow-Fives & White (4 Suits)	540	2	18	9
Rainbow-Fives & White (3 Suits)	541	2	29	11
Rainbow-Fives & Brown (3 Suits)	545	2	11	4
Rainbow-Fives & Omni (4 Suits)	548	2	25	12
Rainbow-Fives & Null (5 Suits)	551	2	11	4
Rainbow-Fives & Null (3 Suits)	553	2	12	5
Pink-Fives & White (4 Suits)	572	2	19	8
Pink-Fives & Brown (4 Suits)	576	2	22	9
Pink-Fives & Brown (3 Suits)	577	2	5	2
Pink-Fives & Gray (5 Suits)	591	2	26	9
White-Fives (4 Suits)	600	2	74	34
White-Fives & Rainbow (5 Suits)	603	2	50	17
White-Fives & Rainbow (3 Suits)	605	2	24	12
White-Fives & Pink (4 Suits)	608	2	23	10
White-Fives & Brown (6 Suits)	614	2	26	10
White-Fives & Brown (4 Suits)	616	2	10	4
White-Fives & Omni (5 Suits)	619	2	18	7
White-Fives & Omni (4 Suits)	620	2	12	5
Brown-Fives (4 Suits)	640	2	95	38
Brown-Fives (3 Suits)	641	2	27	12
Brown-Fives & White (4 Suits)	652	2	28	11
Brown-Fives & Brown (6 Suits)	654	2	22	8
Brown-Fives & Brown (3 Suits)	657	2	6	3
Omni-Fives (4 Suits)	680	2	61	24
Omni-Fives & Pink (4 Suits)	688	2	14	5
Omni-Fives & White (4 Suits)	692	2	25	10
Omni-Fives & Gray (5 Suits)	711	2	6	3
Null-Fives (6 Suits)	718	2	28	11
Null-Fives (3 Suits)	721	2	17	8
Null-Fives & Rainbow (4 Suits)	724	2	5	2
Null-Fives & Rainbow (3 Suits)	725	2	6	3
Null-Fives & Pink (3 Suits)	729	2	5	2
Null-Fives & Brown (3 Suits)	737	2	17	7
Pink & Muddy Rainbow (4 Suits)	762	2	70	27
Rainbow & Light Pink (3 Suits)	785	2	70	25
White & Light Pink (4 Suits)	788	2	69	25
Brown & Light Pink (4 Suits)	792	2	55	21
Omni & Light Pink (4 Suits)	796	2	31	12
Muddy Rainbow & Light Pink (4 Suits)	804	2	29	13
Rainbow-Ones & Muddy Rainbow (4 Suits)	869	2	21	8
Rainbow-Ones & Muddy Rainbow (3 Suits)	870	2	8	3
Rainbow-Ones & Light Pink (5 Suits)	872	2	37	14
Rainbow-Ones & Light Pink (4 Suits)	873	2	15	7
Pink-Ones & Muddy Rainbow (3 Suits)	882	2	10	4
White-Ones & Muddy Rainbow (5 Suits)	892	2	47	17
White-Ones & Muddy Rainbow (3 Suits)	894	2	27	11
White-Ones & Light Pink (6 Suits)	895	2	28	14
Brown-Ones & Muddy Rainbow (4 Suits)	905	2	19	7
Brown-Ones & Light Pink (6 Suits)	907	2	16	7
Brown-Ones & Light Pink (3 Suits)	910	2	9	4
Null-Ones & Muddy Rainbow (4 Suits)	929	2	8	4
Null-Ones & Light Pink (6 Suits)	931	2	10	4
Rainbow-Fives & Light Pink (6 Suits)	943	2	24	11
Rainbow-Fives & Light Pink (5 Suits)	944	2	25	10
Rainbow-Fives & Light Pink (4 Suits)	945	2	17	8
Rainbow-Fives & Light Pink (3 Suits)	946	2	12	5
Pink-Fives & Muddy Rainbow (6 Suits)	951	2	17	6
Pink-Fives & Muddy Rainbow (3 Suits)	954	2	4	2
White-Fives & Muddy Rainbow (5 Suits)	964	2	17	7
White-Fives & Light Pink (5 Suits)	968	2	23	9
White-Fives & Light Pink (4 Suits)	969	2	16	6
White-Fives & Light Pink (3 Suits)	970	2	13	6
Brown-Fives & Muddy Rainbow (5 Suits)	976	2	14	7
Brown-Fives & Light Pink (4 Suits)	981	2	19	8
Null-Fives & Muddy Rainbow (4 Suits)	1001	2	5	2
Null-Fives & Light Pink (3 Suits)	1006	2	2	1
Muddy-Rainbow-Ones (6 Suits)	1011	2	63	24
Muddy-Rainbow-Ones (5 Suits)	1012	2	76	27
Muddy-Rainbow-Ones (4 Suits)	1013	2	39	15
Muddy-Rainbow-Ones & Rainbow (3 Suits)	1018	2	10	5
Muddy-Rainbow-Ones & Pink (4 Suits)	1021	2	11	5
Muddy-Rainbow-Ones & Pink (3 Suits)	1022	2	9	4
Muddy-Rainbow-Ones & White (3 Suits)	1026	2	16	8
Muddy-Rainbow-Ones & Brown (3 Suits)	1030	2	17	6
Muddy-Rainbow-Ones & Omni (4 Suits)	1033	2	14	5
Muddy-Rainbow-Ones & Null (4 Suits)	1037	2	6	3
Muddy-Rainbow-Ones & Light Pink (6 Suits)	1043	2	19	7
Light-Pink-Ones (5 Suits)	1064	2	111	38
Light-Pink-Ones & Rainbow (3 Suits)	1070	2	10	4
Light-Pink-Ones & Pink (6 Suits)	1071	2	12	5
Light-Pink-Ones & Pink (4 Suits)	1073	2	12	5
Light-Pink-Ones & White (5 Suits)	1076	2	12	5
Light-Pink-Ones & Brown (4 Suits)	1081	2	12	5
Light-Pink-Ones & Null (3 Suits)	1090	2	13	6
Light-Pink-Ones & Muddy Rainbow (3 Suits)	1094	2	11	4
Muddy-Rainbow-Fives & Rainbow (3 Suits)	1122	2	21	9
Muddy-Rainbow-Fives & White (5 Suits)	1128	2	13	5
Muddy-Rainbow-Fives & White (4 Suits)	1129	2	12	5
Muddy-Rainbow-Fives & Brown (5 Suits)	1132	2	8	3
Muddy-Rainbow-Fives & Omni (5 Suits)	1136	2	6	3
Muddy-Rainbow-Fives & Null (6 Suits)	1139	2	4	2
Muddy-Rainbow-Fives & Light Pink (5 Suits)	1148	2	11	5
Muddy-Rainbow-Fives & Light Pink (3 Suits)	1150	2	11	4
Muddy-Rainbow-Fives & Dark Pink (6 Suits)	1153	2	5	2
Muddy-Rainbow-Fives & Dark Null (6 Suits)	1161	2	2	1
Light-Pink-Fives (5 Suits)	1168	2	53	20
Light-Pink-Fives (4 Suits)	1169	2	27	11
Light-Pink-Fives (3 Suits)	1170	2	17	8
Light-Pink-Fives & Rainbow (3 Suits)	1174	2	8	4
Light-Pink-Fives & Pink (5 Suits)	1176	2	9	4
Light-Pink-Fives & Pink (4 Suits)	1177	2	7	3
Light-Pink-Fives & Pink (3 Suits)	1178	2	2	1
Light-Pink-Fives & White (4 Suits)	1181	2	20	7
Light-Pink-Fives & White (3 Suits)	1182	2	10	4
Light-Pink-Fives & Brown (6 Suits)	1183	2	13	5
Light-Pink-Fives & Omni (6 Suits)	1187	2	6	3
Light-Pink-Fives & Omni (3 Suits)	1190	2	6	3
Light-Pink-Fives & Null (5 Suits)	1192	2	7	3
Light-Pink-Fives & Null (3 Suits)	1194	2	4	2
Light-Pink-Fives & Muddy Rainbow (5 Suits)	1196	2	8	4
Throw It in a Hole & White (4 Suits)	1228	2	25	9
Alternating Clues & Pink (5 Suits)	1251	2	17	6
Alternating Clues & White (3 Suits)	1257	2	16	7
Alternating Clues & Muddy Rainbow (4 Suits)	1272	2	7	3
Alternating Clues & Muddy Rainbow (3 Suits)	1273	2	10	4
Alternating Clues & Light Pink (4 Suits)	1276	2	2	1
Rainbow & Muddy Rainbow (5 Suits)	1293	2	155	52
Reversed (4 Suits)	1344	2	197	78
Rainbow Reversed (4 Suits)	1350	2	78	30
Ambiguous & Pink (3 Suits)	1355	2	23	8
White Reversed (3 Suits)	1359	2	69	31
Ambiguous & White (3 Suits)	1360	2	36	15
Ambiguous & Brown (5 Suits)	1361	2	50	17
Extremely Ambiguous & Pink (5 Suits)	1389	2	4	2
Very Ambiguous & Omni (4 Suits)	1399	2	8	3
Dual-Color & Pink (4 Suits)	1427	2	48	21
Dual-Color & Light Pink (6 Suits)	1438	2	124	45
Dual-Color & Light Pink (4 Suits)	1439	2	30	12
Prism (4 Suits)	1466	2	622	247
Prism (3 Suits)	1467	2	453	172
Rainbow & Prism (6 Suits)	1473	2	427	158
Rainbow & Prism (5 Suits)	1474	2	448	155
White & Prism (3 Suits)	1488	2	65	31
Omni & Prism (4 Suits)	1499	2	56	20
Omni & Prism (3 Suits)	1500	2	23	10
Light Pink & Prism (5 Suits)	1516	2	74	34
Light Pink & Prism (4 Suits)	1517	2	34	13
Light Pink & Prism (3 Suits)	1518	2	23	11
Rainbow-Ones & Prism (5 Suits)	1546	2	46	22
Rainbow-Ones & Prism (4 Suits)	1547	2	50	19
Pink-Ones & Prism (5 Suits)	1552	2	46	18
Pink-Ones & Prism (4 Suits)	1553	2	34	12
White-Ones & Prism (5 Suits)	1558	2	75	27
White-Ones & Prism (4 Suits)	1559	2	36	14
Brown-Ones & Prism (4 Suits)	1565	2	20	10
Brown-Ones & Prism (3 Suits)	1566	2	10	4
Muddy-Rainbow-Ones & Prism (6 Suits)	1581	2	31	12
Muddy-Rainbow-Ones & Prism (5 Suits)	1582	2	34	12
Muddy-Rainbow-Ones & Prism (4 Suits)	1583	2	17	8
Light-Pink-Ones & Prism (4 Suits)	1589	2	11	5
Rainbow-Fives & Prism (5 Suits)	1594	2	41	15
Rainbow-Fives & Prism (4 Suits)	1595	2	14	7
Pink-Fives & Prism (5 Suits)	1600	2	28	11
White-Fives & Prism (4 Suits)	1607	2	23	10
Brown-Fives & Dark Prism (5 Suits)	1616	2	5	2
Omni-Fives & Prism (4 Suits)	1619	2	10	5
Null-Fives & Dark Prism (5 Suits)	1628	2	2	1
Light-Pink-Fives & Prism (5 Suits)	1636	2	34	14
Light-Pink-Fives & Prism (4 Suits)	1637	2	17	7
Dual-Color & Prism (4 Suits)	1650	2	58	27
Throw It in a Hole & Prism (4 Suits)	1662	2	16	6
Prism Reversed (5 Suits)	1664	2	167	56
Deceptive-Ones (4 Suits)	1673	2	66	23
Deceptive-Ones (3 Suits)	1674	2	46	19
Deceptive-Ones & Rainbow (4 Suits)	1679	2	13	5
Deceptive-Ones & Pink (5 Suits)	1682	2	24	10
Deceptive-Ones & Pink (3 Suits)	1684	2	13	6
Deceptive-Ones & White (3 Suits)	1688	2	8	3
Deceptive-Ones & Omni (5 Suits)	1694	2	9	4
Deceptive-Ones & Muddy Rainbow (3 Suits)	1704	2	4	2
Deceptive-Ones & Light Pink (6 Suits)	1705	2	14	6
Deceptive-Ones & Prism (4 Suits)	1711	2	12	5
Deceptive-Ones & Prism (3 Suits)	1712	2	4	2
Deceptive-Ones & Dark Omni (6 Suits)	1721	2	7	3
Deceptive-Fives (3 Suits)	1734	2	21	10
Deceptive-Fives & Brown (3 Suits)	1752	2	4	2
Deceptive-Fives & Muddy Rainbow (3 Suits)	1764	2	2	1
Odds And Evens (4 Suits)	1812	2	2	1
Synesthesia & Dark Null (5 Suits)	1818	2	2	1
Odds and Evens & Pink (5 Suits)	1847	2	2	1
Odds and Evens & Null (6 Suits)	1862	2	2	1
Odds and Evens & Prism (5 Suits)	1875	2	2	1
Rainbow-Ones (4 Suits)	170	1	140	72
Rainbow-Ones (3 Suits)	171	1	92	53
Rainbow-Ones & Rainbow (3 Suits)	297	1	27	15
Rainbow-Ones & White (3 Suits)	301	1	22	12
Pink-Ones & Rainbow (3 Suits)	333	1	13	8
White-Ones (3 Suits)	369	1	58	33
White-Ones & White (4 Suits)	380	1	43	24
White-Ones & Null (3 Suits)	393	1	5	4
Omni-Ones & Rainbow (4 Suits)	452	1	11	6
Omni-Ones & Brown (4 Suits)	464	1	3	2
Null-Ones (3 Suits)	489	1	30	17
Null-Ones & Rainbow (3 Suits)	493	1	11	6
Rainbow-Fives (4 Suits)	528	1	38	26
Rainbow-Fives (3 Suits)	529	1	36	20
Rainbow-Fives & Pink (4 Suits)	536	1	11	6
Pink-Fives & Null (4 Suits)	584	1	3	2
Pink-Fives & Null (3 Suits)	585	1	2	2
White-Fives (3 Suits)	601	1	46	28
White-Fives & White (4 Suits)	612	1	26	15
White-Fives & White (3 Suits)	613	1	11	8
Brown-Fives & Rainbow (3 Suits)	645	1	4	4
Brown-Fives & Omni (5 Suits)	659	1	3	2
Brown-Fives & Null (5 Suits)	663	1	1	1
Omni-Fives (3 Suits)	681	1	19	14
Omni-Fives & Rainbow (4 Suits)	684	1	14	8
Omni-Fives & Rainbow (3 Suits)	685	1	13	7
Omni-Fives & Brown (4 Suits)	696	1	8	5
Null-Fives (4 Suits)	720	1	7	4
Null-Fives & White (3 Suits)	733	1	5	4
Null-Fives & Omni (4 Suits)	740	1	3	2
Null-Fives & Null (5 Suits)	743	1	1	1
Pink-Ones & Muddy Rainbow (4 Suits)	881	1	9	7
White-Ones & Muddy Rainbow (4 Suits)	893	1	22	12
White-Ones & Light Pink (4 Suits)	897	1	18	11
Null-Ones & Muddy Rainbow (3 Suits)	930	1	3	2
Null-Ones & Light Pink (3 Suits)	934	1	3	2
Omni-Fives & Muddy Rainbow (5 Suits)	988	1	11	7
Omni-Fives & Muddy Rainbow (4 Suits)	989	1	3	2
Omni-Fives & Light Pink (3 Suits)	994	1	5	3
Null-Fives & Muddy Rainbow (5 Suits)	1000	1	2	2
Muddy-Rainbow-Ones (3 Suits)	1014	1	14	9
Muddy-Rainbow-Ones & White (4 Suits)	1025	1	17	13
Muddy-Rainbow-Ones & Omni (3 Suits)	1034	1	3	2
Muddy-Rainbow-Ones & Muddy Rainbow (5 Suits)	1040	1	6	5
Light-Pink-Ones (3 Suits)	1066	1	14	8
Light-Pink-Ones & Rainbow (4 Suits)	1069	1	3	2
Light-Pink-Ones & White (4 Suits)	1077	1	10	7
Light-Pink-Ones & White (3 Suits)	1078	1	7	4
Light-Pink-Ones & Omni (4 Suits)	1085	1	5	3
Light-Pink-Ones & Omni (3 Suits)	1086	1	2	2
Light-Pink-Ones & Null (5 Suits)	1088	1	1	1
Light-Pink-Ones & Muddy Rainbow (6 Suits)	1091	1	8	5
Light-Pink-Ones & Light Pink (3 Suits)	1098	1	2	2
Muddy-Rainbow-Fives (4 Suits)	1117	1	16	9
Muddy-Rainbow-Fives & White (3 Suits)	1130	1	5	3
Muddy-Rainbow-Fives & Brown (4 Suits)	1133	1	9	6
Light-Pink-Fives & Rainbow (4 Suits)	1173	1	9	5
Light-Pink-Fives & Brown (3 Suits)	1186	1	2	2
Light-Pink-Fives & Null (4 Suits)	1193	1	1	1
Light-Pink-Fives & Light Pink (4 Suits)	1201	1	4	3
Light-Pink-Fives & Gray (6 Suits)	1207	1	3	2
Alternating Clues & Rainbow (3 Suits)	1249	1	9	6
Alternating Clues & White (4 Suits)	1256	1	14	8
Reversed (3 Suits)	1345	1	100	52
White Reversed (4 Suits)	1358	1	78	41
Ambiguous & Muddy Rainbow (3 Suits)	1368	1	9	5
Dual-Color & White (4 Suits)	1429	1	45	29
Muddy Rainbow & Prism (4 Suits)	1511	1	21	11
Muddy Rainbow & Prism (3 Suits)	1512	1	13	8
White-Ones & Prism (3 Suits)	1560	1	16	10
Null-Ones & Prism (3 Suits)	1578	1	1	1
Muddy-Rainbow-Ones & Prism (3 Suits)	1584	1	3	2
Light-Pink-Ones & Prism (3 Suits)	1590	1	7	5
Rainbow-Fives & Prism (3 Suits)	1596	1	10	6
White-Fives & Prism (3 Suits)	1608	1	15	11
Brown-Fives & Prism (3 Suits)	1614	1	5	3
Light-Pink-Fives & Prism (3 Suits)	1638	1	3	2
Deceptive-Ones & Muddy Rainbow (4 Suits)	1703	1	3	2
Deceptive-Ones & Light Pink (3 Suits)	1708	1	5	3
Deceptive-Fives & Pink (4 Suits)	1743	1	5	5
Deceptive-Fives & Pink (3 Suits)	1744	1	1	1
Deceptive-Fives & Null (6 Suits)	1757	1	1	1
Synesthesia & Null (4 Suits)	1803	1	1	1
