variant	variant_id
Light-Pink-Fives & Dark Prism (6 Suits)	1639
Extremely Ambiguous & Null (6 Suits)	1400
White-Fives & Dark Rainbow (5 Suits)	627
Brown-Fives & Dark Brown (6 Suits)	672
Muddy-Rainbow-Ones & Dark Omni (6 Suits)	1055
Alternating Clues & Dark Prism (5 Suits)	1657
Omni-Fives & Gray Pink (5 Suits)	998
Null-Ones & Dark Rainbow (6 Suits)	514
Omni-Ones & Dark Brown (5 Suits)	481
Omni-Fives & Light Pink (4 Suits)	993
Pink-Fives & Dark Null (6 Suits)	596
Light-Pink-Fives & Null (6 Suits)	1191
Throw It in a Hole & Omni (5 Suits)	1233
Omni-Ones & Dark Omni (5 Suits)	483
Alternating Clues & Prism (5 Suits)	1653
Deceptive-Fives & Omni (3 Suits)	1756
Omni-Ones & Dark Prism (6 Suits)	1573
Deceptive-Fives & Gray Pink (5 Suits)	1788
White-Fives & Dark Prism (5 Suits)	1610
Light-Pink-Fives & Black (5 Suits)	1341
Omni-Ones & Dark Null (5 Suits)	485
Brown-Fives & Muddy Rainbow (3 Suits)	978
Omni-Ones & Prism (6 Suits)	1569
Brown-Fives & Muddy Rainbow (6 Suits)	975
Muddy-Rainbow-Ones & Rainbow (5 Suits)	1016
Muddy-Rainbow-Ones & Null (6 Suits)	1035
Omni-Fives & Dark Prism (6 Suits)	1621
Omni-Fives & Dark Omni (5 Suits)	715
Pink-Fives & Dark Prism (5 Suits)	1604
Light-Pink-Fives & Dark Brown (5 Suits)	1210
Light-Pink-Ones & Null (4 Suits)	1089
Light-Pink-Fives & Muddy Rainbow (4 Suits)	1197
Muddy-Rainbow-Fives & Dark Omni (5 Suits)	1160
Extremely Ambiguous & Dark Rainbow (6 Suits)	1409
Null-Fives & Gray Pink (5 Suits)	1010
Omni-Fives & Black (5 Suits)	1333
Rainbow-Ones & Dark Null (5 Suits)	325
Brown-Fives & Dark Pink (5 Suits)	669
Deceptive-Ones & Dark Null (5 Suits)	1724
Light-Pink-Fives & Dark Rainbow (6 Suits)	1203
White-Fives & Null (5 Suits)	623
Extremely Ambiguous & Dark Null (5 Suits)	1420
Brown-Fives & Gray Pink (5 Suits)	986
Rainbow-Fives & Dark Omni (6 Suits)	562
Light-Pink-Fives & Gray Pink (5 Suits)	1218
Brown-Ones & Dark Null (6 Suits)	444
Alternating Clues & Gray Pink (5 Suits)	1463
Throw It in a Hole & Light Pink (6 Suits)	1241
Pink-Fives & Dark Rainbow (5 Suits)	587
Null-Fives & Cocoa Rainbow (6 Suits)	1007
Light-Pink-Ones & Dark Pink (6 Suits)	1101
Light-Pink-Fives & Light Pink (3 Suits)	1202
Pink-Fives & Pink (3 Suits)	569
Omni-Ones & Dark Prism (5 Suits)	1574
Light-Pink-Fives & Dark Null (6 Suits)	1213
Alternating Clues & Muddy Rainbow (5 Suits)	1271
Pink-Ones & Dark Pink (5 Suits)	357
Deceptive-Ones & Muddy Rainbow (6 Suits)	1701
Deceptive-Ones & Gray Pink (6 Suits)	1727
Muddy-Rainbow-Fives & Muddy Rainbow (5 Suits)	1144
Alternating Clues & Omni (5 Suits)	1263
Brown-Ones & Dark Pink (5 Suits)	437
Omni-Ones & Cocoa Rainbow (5 Suits)	924
Pink-Fives & Omni (5 Suits)	579
Omni-Ones & Dark Pink (5 Suits)	477
Alternating Clues & Null (5 Suits)	1267
Null-Ones & Dark Null (5 Suits)	525
Pink-Fives & Dark Rainbow (6 Suits)	586
Brown-Ones & Null (6 Suits)	430
Alternating Clues & Null (4 Suits)	1268
Alternating Clues & Gray (5 Suits)	1453
Pink-Fives & Null (6 Suits)	582
Null-Ones & Gray Pink (6 Suits)	937
Null-Ones & Cocoa Rainbow (6 Suits)	935
Rainbow-Fives & Null (6 Suits)	550
Extremely Ambiguous & Muddy Rainbow (5 Suits)	1404
Deceptive-Ones & Gray (6 Suits)	1717
Omni-Fives & Dark Brown (6 Suits)	712
Omni-Ones & Gray Pink (5 Suits)	926
Null-Ones & Gray Pink (5 Suits)	938
Null-Fives & Pink (4 Suits)	728
Alternating Clues & Prism (3 Suits)	1655
Null-Ones & Muddy Rainbow (4 Suits)	929
Null-Ones & Gray (5 Suits)	519
Deceptive-Ones & Dark Prism (6 Suits)	1729
Deceptive-Ones & Gray Pink (5 Suits)	1728
Null-Fives & Gray (6 Suits)	750
Null-Ones & Dark Null (6 Suits)	524
Brown-Fives & Dark Null (5 Suits)	677
Alternating Clues & Omni (4 Suits)	1264
Null-Fives & Null (6 Suits)	742
Omni-Ones & Dark Brown (6 Suits)	480
Alternating Clues & Dark Pink (5 Suits)	1451
Muddy-Rainbow-Ones & Dark Brown (6 Suits)	1053
Brown-Fives & Null (4 Suits)	664
