variant	count
Black & Cocoa Rainbow (6 Suits)	141
Pink & Muddy Rainbow (6 Suits)	140
Pink & Dark Prism (6 Suits)	140
Cocoa Rainbow & Dark Prism (6 Suits)	139
White & Omni (5 Suits)	137
Clue Starved & Prism (5 Suits)	137
Brown & Prism (6 Suits)	137
Muddy-Rainbow-Ones & Black (6 Suits)	137
Rainbow & Dark Omni (5 Suits)	136
White & Null (5 Suits)	136
Clue Starved & Rainbow (6 Suits)	136
Gray & Cocoa Rainbow (6 Suits)	134
White & Dark Prism (6 Suits)	133
Pink & Dark Omni (5 Suits)	133
Dark Rainbow & Dark Omni (6 Suits)	133
Color Blind (5 Suits)	132
Brown-Ones & Prism (6 Suits)	131
Dark Rainbow Reversed (5 Suits)	131
White & Dark Omni (6 Suits)	131
Clue Starved & Rainbow (5 Suits)	130
White & Light Pink (6 Suits)	129
Pink & Omni (3 Suits)	129
Dual-Color & Pink (6 Suits)	129
Up or Down & Brown (5 Suits)	128
Pink & Muddy Rainbow (5 Suits)	127
Brown & Gray Pink (6 Suits)	127
Cocoa Rainbow & Gray Pink (6 Suits)	127
Prism Reversed (6 Suits)	126
Deceptive-Fives (5 Suits)	125
White & Dark Pink (5 Suits)	125
Up or Down & Muddy Rainbow (5 Suits)	124
Prism Reversed (5 Suits)	124
Brown & Null (3 Suits)	123
Dark Null & Dark Prism (6 Suits)	123
Pink & White (3 Suits)	122
Ambiguous & Black (5 Suits)	121
White & Light Pink (5 Suits)	119
Rainbow & Null (5 Suits)	119
Pink & Light Pink (5 Suits)	119
Brown & Light Pink (6 Suits)	119
Pink-Ones & Gray Pink (6 Suits)	118
White-Ones (6 Suits)	116
White-Fives (5 Suits)	115
Muddy Rainbow & Light Pink (6 Suits)	115
Up or Down & Light Pink (5 Suits)	114
Rainbow & Muddy Rainbow (6 Suits)	114
Omni & Dark Prism (6 Suits)	114
Prism & Gray (5 Suits)	114
Rainbow & Gray Pink (5 Suits)	113
Prism & Gray (6 Suits)	113
Dual-Color & Light Pink (6 Suits)	112
Pink-Ones (6 Suits)	112
Rainbow & Prism (3 Suits)	111
White & Omni (6 Suits)	111
Pink & Dark Brown (6 Suits)	110
Rainbow & Light Pink (4 Suits)	110
Rainbow & Omni (3 Suits)	110
Rainbow & Cocoa Rainbow (5 Suits)	110
Rainbow & Muddy Rainbow (5 Suits)	109
White & Dark Omni (5 Suits)	108
Pink & Prism (4 Suits)	107
Gray & Dark Null (6 Suits)	107
Number Mute (5 Suits)	107
Pink-Fives & Rainbow (6 Suits)	107
Brown-Ones & Black (6 Suits)	107
White & Muddy Rainbow (6 Suits)	107
White & Brown (3 Suits)	103
Light Pink & Prism (6 Suits)	103
White & Muddy Rainbow (5 Suits)	103
Rainbow-Fives (6 Suits)	102
Pink-Fives (6 Suits)	102
