variant	count
Rainbow-Ones & Cocoa Rainbow (5 Suits)	7
Pink-Ones & Brown (3 Suits)	7
Pink-Fives & Light Pink (4 Suits)	7
Brown-Fives & Dark Rainbow (6 Suits)	7
Pink-Ones & Dark Pink (5 Suits)	7
Omni-Ones & Gray Pink (5 Suits)	7
White-Fives & Light Pink (5 Suits)	7
Light-Pink-Ones & Omni (5 Suits)	7
Alternating Clues & Pink (3 Suits)	6
Omni-Ones & Pink (6 Suits)	6
Muddy-Rainbow-Fives & Muddy Rainbow (3 Suits)	6
Alternating Clues & Dark Omni (6 Suits)	6
Alternating Clues & Dark Brown (6 Suits)	6
Deceptive-Fives & Muddy Rainbow (6 Suits)	6
Pink-Ones & Dark Brown (5 Suits)	6
Light-Pink-Ones & White (3 Suits)	6
Light-Pink-Ones & Brown (3 Suits)	6
Light-Pink-Fives & Dark Rainbow (5 Suits)	6
Deceptive-Fives & Light Pink (5 Suits)	6
Null-Fives & Brown (5 Suits)	6
Throw It in a Hole & Omni (5 Suits)	6
Brown-Fives & Dark Prism (6 Suits)	6
Muddy-Rainbow-Ones & White (4 Suits)	6
Pink-Ones & Dark Prism (6 Suits)	6
Muddy-Rainbow-Ones & White (3 Suits)	6
Muddy-Rainbow-Fives & White (4 Suits)	6
Brown-Fives & Muddy Rainbow (5 Suits)	6
Omni-Ones & Light Pink (4 Suits)	6
Deceptive-Fives & Dark Brown (5 Suits)	6
Omni-Ones & Brown (6 Suits)	6
Extremely Ambiguous & Brown (6 Suits)	6
Omni-Fives & Omni (3 Suits)	6
Deceptive-Fives & Rainbow (4 Suits)	6
Brown-Ones & Omni (4 Suits)	6
Light-Pink-Fives & Dark Prism (6 Suits)	6
Muddy-Rainbow-Ones & Dark Null (5 Suits)	6
Light-Pink-Fives & Rainbow (6 Suits)	6
Pink-Fives & Dark Pink (6 Suits)	6
Very Ambiguous & Omni (4 Suits)	6
Muddy-Rainbow-Ones & Dark Prism (6 Suits)	6
Omni-Fives & Dark Prism (6 Suits)	6
Brown-Fives & Brown (3 Suits)	6
Light-Pink-Fives & Light Pink (5 Suits)	6
Light-Pink-Fives & Gray Pink (5 Suits)	6
Deceptive-Ones & Light Pink (6 Suits)	6
Omni-Fives & Black (5 Suits)	6
Extremely Ambiguous & Dark Null (5 Suits)	6
Pink-Fives & Dark Rainbow (5 Suits)	6
Rainbow-Fives & Light Pink (6 Suits)	6
Extremely Ambiguous & Gray (6 Suits)	6
Rainbow-Fives & Muddy Rainbow (5 Suits)	6
Rainbow-Fives & Null (3 Suits)	6
Deceptive-Ones & Brown (3 Suits)	6
Rainbow-Fives & Prism (4 Suits)	6
Light-Pink-Ones & Dark Brown (6 Suits)	6
Pink-Fives & Pink (5 Suits)	6
Light-Pink-Ones & Dark Brown (5 Suits)	6
Brown-Ones & Cocoa Rainbow (6 Suits)	6
Null-Ones & Prism (6 Suits)	6
Null-Ones & Null (6 Suits)	6
Deceptive-Ones & Rainbow (4 Suits)	6
Null-Ones & Brown (4 Suits)	6
Rainbow-Fives & Muddy Rainbow (6 Suits)	5
Omni-Ones & Prism (3 Suits)	5
White-Fives & Omni (4 Suits)	5
Muddy-Rainbow-Ones & Muddy Rainbow (3 Suits)	5
Light-Pink-Fives & Null (5 Suits)	5
Extremely Ambiguous & Light Pink (5 Suits)	5
Rainbow-Fives & Omni (5 Suits)	5
Omni-Fives & Rainbow (4 Suits)	5
Pink-Fives & Dark Omni (5 Suits)	5
Muddy-Rainbow-Ones & Rainbow (5 Suits)	5
Alternating Clues & Muddy Rainbow (3 Suits)	5
Deceptive-Ones & Dark Prism (6 Suits)	5
Deceptive-Fives & Dark Prism (6 Suits)	5
Pink-Ones & Null (3 Suits)	5
Null-Ones & Dark Omni (6 Suits)	5
Muddy-Rainbow-Fives & Dark Omni (6 Suits)	5
Null-Fives & Pink (6 Suits)	5
White-Ones & Null (3 Suits)	5
Light-Pink-Fives & Pink (6 Suits)	5
Light-Pink-Fives & Prism (5 Suits)	5
Muddy-Rainbow-Fives & White (5 Suits)	5
Null-Ones & Dark Null (6 Suits)	5
Deceptive-Ones & Prism (6 Suits)	5
Null & Dark Brown (5 Suits)	5
Null & Dark Prism (5 Suits)	5
Deceptive-Ones & Prism (4 Suits)	5
Deceptive-Ones & Brown (6 Suits)	5
Muddy-Rainbow-Fives & Prism (6 Suits)	5
Light-Pink-Fives & Black (5 Suits)	5
White-Fives & Dark Brown (6 Suits)	5
Null-Fives & White (3 Suits)	5
Null-Ones & Prism (5 Suits)	5
Muddy-Rainbow-Fives & Light Pink (3 Suits)	5
Throw It in a Hole & Muddy Rainbow (4 Suits)	5
Light-Pink-Ones & White (4 Suits)	5
Throw It in a Hole & Brown (6 Suits)	5
Null-Ones & Omni (3 Suits)	5
Pink-Fives & Light Pink (3 Suits)	5
Omni-Ones & Omni (3 Suits)	5
Deceptive-Fives & Muddy Rainbow (4 Suits)	5
Deceptive-Fives & Omni (6 Suits)	5
Alternating Clues & Omni (4 Suits)	5
White-Fives & Gray Pink (5 Suits)	5
Muddy-Rainbow-Ones & Null (5 Suits)	5
Null-Fives & Muddy Rainbow (4 Suits)	5
Muddy-Rainbow-Fives & Brown (5 Suits)	5
White-Fives & Black (5 Suits)	5
Omni-Fives & Brown (3 Suits)	5
Deceptive-Fives & Prism (6 Suits)	5
Muddy-Rainbow-Fives & Brown (4 Suits)	5
Rainbow-Fives & Dark Brown (5 Suits)	5
Light-Pink-Ones & Pink (3 Suits)	5
Deceptive-Fives & Null (5 Suits)	5
Muddy-Rainbow-Ones & Dark Rainbow (5 Suits)	5
Muddy-Rainbow-Fives & Dark Omni (5 Suits)	5
Extremely Ambiguous & Gray (5 Suits)	5
Muddy-Rainbow-Fives & Muddy Rainbow (5 Suits)	5
Omni-Fives & Muddy Rainbow (3 Suits)	5
Muddy-Rainbow-Fives & Muddy Rainbow (4 Suits)	5
Null-Ones & Black (5 Suits)	5
Extremely Ambiguous & White (6 Suits)	4
Light-Pink-Ones & Prism (3 Suits)	4
Muddy-Rainbow-Ones & Cocoa Rainbow (5 Suits)	4
Brown-Fives & Dark Omni (6 Suits)	4
Brown-Fives & Dark Brown (5 Suits)	4
Muddy-Rainbow-Ones & Pink (6 Suits)	4
Muddy-Rainbow-Ones & Null (4 Suits)	4
Omni-Ones & Prism (4 Suits)	4
Prism & Dark Null (5 Suits)	4
Deceptive-Fives & Null (4 Suits)	4
Deceptive-Fives & Light Pink (3 Suits)	4
Omni-Ones & Null (6 Suits)	4
Deceptive-Fives & Black (5 Suits)	4
Omni-Ones & Gray (6 Suits)	4
Omni-Ones & Dark Rainbow (6 Suits)	4
Omni-Ones & Dark Prism (6 Suits)	4
Deceptive-Fives & White (3 Suits)	4
Omni-Ones & Dark Brown (6 Suits)	4
Muddy Rainbow & Dark Null (5 Suits)	4
Light-Pink-Fives & Null (6 Suits)	4
Omni-Fives & Prism (3 Suits)	4
Alternating Clues & Gray (5 Suits)	4
Alternating Clues & Light Pink (3 Suits)	4
Light-Pink-Fives & Muddy Rainbow (5 Suits)	4
Light-Pink-Fives & Muddy Rainbow (4 Suits)	4
Omni-Fives & Light Pink (3 Suits)	4
Brown-Ones & Light Pink (6 Suits)	4
Omni-Fives & Gray (5 Suits)	4
Extremely Ambiguous & Cocoa Rainbow (5 Suits)	4
Omni-Fives & Dark Prism (5 Suits)	4
Omni-Fives & Dark Pink (6 Suits)	4
Brown-Ones & Dark Prism (5 Suits)	4
White-Fives & White (3 Suits)	4
Rainbow-Fives & Dark Null (5 Suits)	4
Light-Pink-Ones & Muddy Rainbow (3 Suits)	4
Muddy-Rainbow-Fives & Cocoa Rainbow (6 Suits)	4
Extremely Ambiguous & Dark Rainbow (6 Suits)	4
Rainbow-Fives & Null (6 Suits)	4
Rainbow-Fives & Prism (3 Suits)	4
Rainbow-Fives & Rainbow (3 Suits)	4
Extremely Ambiguous & Omni (6 Suits)	4
Deceptive-Ones & Dark Pink (6 Suits)	4
Brown-Ones & Dark Omni (5 Suits)	4
Null-Ones & Pink (4 Suits)	4
Null-Ones & Omni (4 Suits)	4
Null-Ones & Muddy Rainbow (6 Suits)	4
White-Fives & Dark Prism (6 Suits)	4
Muddy-Rainbow-Fives & Light Pink (5 Suits)	4
Null-Ones & Dark Omni (5 Suits)	4
Rainbow-Ones & Null (3 Suits)	4
Pink-Ones & Null (4 Suits)	4
Rainbow-Ones & Omni (3 Suits)	4
Null-Fives & Rainbow (3 Suits)	4
Brown-Fives & White (3 Suits)	4
White-Fives & Brown (4 Suits)	4
Null-Fives & Muddy Rainbow (3 Suits)	4
Muddy-Rainbow-Fives & Omni (5 Suits)	4
Pink-Ones & Omni (4 Suits)	4
Alternating Clues & Pink (5 Suits)	4
Alternating Clues & Prism (5 Suits)	4
Null-Fives & Dark Pink (5 Suits)	4
Muddy-Rainbow-Fives & Prism (3 Suits)	4
Muddy-Rainbow-Fives & Prism (5 Suits)	4
Throw It in a Hole & Muddy Rainbow (6 Suits)	4
Light-Pink-Fives & Cocoa Rainbow (5 Suits)	4
Muddy-Rainbow-Fives & Rainbow (5 Suits)	4
Alternating Clues & Muddy Rainbow (6 Suits)	3
Deceptive-Ones & Omni (4 Suits)	3
Light-Pink-Ones & Omni (4 Suits)	3
Deceptive-Fives & Gray Pink (5 Suits)	3
Deceptive-Fives & Dark Prism (5 Suits)	3
Omni-Ones & Muddy Rainbow (3 Suits)	3
Omni-Ones & Dark Prism (5 Suits)	3
Omni-Ones & Dark Omni (6 Suits)	3
Omni-Ones & Dark Brown (5 Suits)	3
Omni-Fives & Muddy Rainbow (6 Suits)	3
Omni-Fives & Light Pink (4 Suits)	3
Brown-Ones & Dark Pink (5 Suits)	3
Rainbow-Fives & Cocoa Rainbow (6 Suits)	3
Rainbow-Fives & Gray Pink (6 Suits)	3
Light-Pink-Ones & Dark Omni (5 Suits)	3
Extremely Ambiguous & Muddy Rainbow (5 Suits)	3
Rainbow-Ones & Dark Prism (5 Suits)	3
Brown-Ones & Brown (3 Suits)	3
Null-Ones & Dark Pink (6 Suits)	3
Null-Ones & Brown (3 Suits)	3
Null-Fives (4 Suits)	3
Null-Fives & Null (6 Suits)	3
Brown-Fives & Prism (5 Suits)	3
Null-Fives & Light Pink (6 Suits)	3
Null-Fives & Dark Null (6 Suits)	3
Null-Fives & Black (5 Suits)	3
Throw It in a Hole & Omni (4 Suits)	3
Light-Pink-Fives & Brown (6 Suits)	3
Light-Pink-Fives & Dark Brown (5 Suits)	3
Light-Pink-Fives & Dark Pink (6 Suits)	3
Brown-Fives & Muddy Rainbow (3 Suits)	3
Brown-Fives & Light Pink (4 Suits)	3
Muddy-Rainbow-Ones & Prism (4 Suits)	3
Brown-Fives & Gray (5 Suits)	3
Brown-Fives & Dark Prism (5 Suits)	3
Brown-Fives & Dark Pink (6 Suits)	3
Brown-Fives & Dark Brown (6 Suits)	3
Muddy-Rainbow-Ones & Null (6 Suits)	3
Muddy-Rainbow-Ones & Muddy Rainbow (5 Suits)	3
Light-Pink-Fives & White (6 Suits)	3
Muddy-Rainbow-Ones & Dark Brown (5 Suits)	3
Muddy-Rainbow-Ones & Cocoa Rainbow (6 Suits)	3
Light-Pink-Fives & Rainbow (3 Suits)	3
Alternating Clues & Rainbow (3 Suits)	3
Muddy-Rainbow-Fives & Pink (4 Suits)	3
Alternating Clues & Prism (3 Suits)	3
Alternating Clues & Omni (5 Suits)	3
Muddy-Rainbow-Fives & Null (6 Suits)	3
Muddy-Rainbow-Fives & Null (4 Suits)	3
Muddy-Rainbow-Fives & Light Pink (6 Suits)	3
Light-Pink-Fives & Rainbow (4 Suits)	3
White-Fives & Dark Pink (5 Suits)	3
Alternating Clues & Gray (6 Suits)	3
Alternating Clues & Dark Pink (6 Suits)	3
Light-Pink-Fives & Pink (4 Suits)	3
Light-Pink-Ones & Rainbow (4 Suits)	3
Pink-Fives & Dark Prism (5 Suits)	3
White-Fives & Gray (5 Suits)	2
Null-Ones & Light Pink (4 Suits)	2
Omni-Fives & Gray Pink (5 Suits)	2
Null-Fives & Light Pink (3 Suits)	2
Brown-Ones & Null (5 Suits)	2
Light-Pink-Ones & Muddy Rainbow (6 Suits)	2
Muddy-Rainbow-Fives & Light Pink (4 Suits)	2
Alternating Clues & Gray Pink (5 Suits)	2
Deceptive-Ones & Light Pink (4 Suits)	2
Brown-Ones & Prism (3 Suits)	2
Light-Pink-Fives & Null (3 Suits)	2
Omni-Fives & Pink (3 Suits)	2
Alternating Clues & Null (5 Suits)	2
Light-Pink-Fives & Omni (3 Suits)	2
Brown-Ones & Dark Null (6 Suits)	2
Throw It in a Hole & Light Pink (6 Suits)	2
Null-Fives & Pink (4 Suits)	2
Null-Fives & Pink (5 Suits)	2
Pink-Fives & Brown (3 Suits)	2
White-Fives & Muddy Rainbow (4 Suits)	2
Deceptive-Fives & Brown (5 Suits)	2
Omni-Ones & Muddy Rainbow (4 Suits)	2
Omni-Ones & Null (3 Suits)	2
Light-Pink-Ones & Null (6 Suits)	2
Omni-Ones & Omni (4 Suits)	2
Extremely Ambiguous & White (5 Suits)	2
Extremely Ambiguous & Pink (5 Suits)	2
Deceptive-Fives & Omni (3 Suits)	2
Extremely Ambiguous & Null (6 Suits)	2
White-Fives & Null (4 Suits)	2
Light-Pink-Fives & White (3 Suits)	2
Brown-Fives & Prism (3 Suits)	2
Deceptive-Fives & Pink (4 Suits)	2
Deceptive-Fives & Prism (5 Suits)	2
Pink-Fives & Omni (5 Suits)	2
Light-Pink-Ones & Prism (4 Suits)	2
Null-Fives & Rainbow (4 Suits)	2
Rainbow-Fives & Null (5 Suits)	2
Omni-Ones & White (3 Suits)	2
Null-Fives & Muddy Rainbow (6 Suits)	2
Deceptive-Ones & White (3 Suits)	2
Null-Ones & Gray (6 Suits)	2
Null-Fives & Cocoa Rainbow (5 Suits)	2
Deceptive-Ones & Light Pink (3 Suits)	2
Light-Pink-Ones & Light Pink (3 Suits)	2
Deceptive-Ones & Prism (3 Suits)	2
White-Fives & Dark Prism (5 Suits)	2
Deceptive-Ones & Gray Pink (6 Suits)	2
Rainbow-Fives & Dark Omni (6 Suits)	2
Deceptive-Ones & Muddy Rainbow (6 Suits)	2
Omni-Fives & Brown (4 Suits)	2
Muddy-Rainbow-Ones & Omni (3 Suits)	2
Extremely Ambiguous & Cocoa Rainbow (6 Suits)	2
Light-Pink-Fives & Gray (6 Suits)	2
Very Ambiguous & Muddy Rainbow (4 Suits)	2
White-Fives & Dark Rainbow (5 Suits)	2
Pink-Ones & Muddy Rainbow (4 Suits)	2
Brown-Fives & Dark Null (5 Suits)	2
Brown-Fives & Dark Omni (5 Suits)	2
Pink-Fives & Dark Pink (5 Suits)	2
Brown-Fives & Dark Rainbow (5 Suits)	2
Light-Pink-Ones & Black (5 Suits)	2
Light-Pink-Fives & Light Pink (4 Suits)	2
Brown-Fives & Null (4 Suits)	2
Muddy-Rainbow-Fives & White (3 Suits)	2
Alternating Clues & Brown (4 Suits)	2
Light-Pink-Fives & Brown (3 Suits)	2
Pink-Fives & Dark Rainbow (6 Suits)	2
Pink-Ones & Muddy Rainbow (5 Suits)	1
Muddy-Rainbow-Ones & Prism (3 Suits)	1
Brown-Fives & Null (3 Suits)	1
Omni-Ones & Brown (4 Suits)	1
Muddy-Rainbow-Fives & Prism (4 Suits)	1
Brown-Fives & Omni (4 Suits)	1
Null-Fives & Dark Pink (6 Suits)	1
Light-Pink-Fives & Prism (3 Suits)	1
Deceptive-Ones & Muddy Rainbow (4 Suits)	1
Null-Fives & Gray (6 Suits)	1
Alternating Clues & Prism (4 Suits)	1
Deceptive-Ones & Dark Brown (6 Suits)	1
Alternating Clues & Pink (4 Suits)	1
Light-Pink-Ones & Cocoa Rainbow (6 Suits)	1
Brown-Fives & Rainbow (3 Suits)	1
Muddy-Rainbow-Fives & Omni (4 Suits)	1
Alternating Clues & Null (4 Suits)	1
Alternating Clues & Muddy Rainbow (5 Suits)	1
Null-Fives & Null (3 Suits)	1
Null-Fives & Null (4 Suits)	1
Muddy-Rainbow-Fives & Null (3 Suits)	1
Null-Fives & Omni (4 Suits)	1
Deceptive-Ones & Cocoa Rainbow (6 Suits)	1
Null-Ones & Gray (5 Suits)	1
Deceptive-Fives & White (4 Suits)	1
Deceptive-Ones & Gray (5 Suits)	1
Null-Ones & Gray Pink (5 Suits)	1
Alternating Clues & Light Pink (4 Suits)	1
Null-Ones & Muddy Rainbow (4 Suits)	1
Rainbow-Ones & Dark Null (5 Suits)	1
Null-Ones & Prism (3 Suits)	1
Null-Ones & White (6 Suits)	1
Muddy-Rainbow-Fives & Dark Pink (6 Suits)	1
White-Fives & Null (5 Suits)	1
Alternating Clues & Dark Null (5 Suits)	1
Light-Pink-Ones & Dark Omni (6 Suits)	1
Rainbow-Fives & Light Pink (4 Suits)	1
Muddy-Rainbow-Fives & Dark Null (6 Suits)	1
Light-Pink-Ones & Dark Pink (6 Suits)	1
Extremely Ambiguous & Dark Rainbow (5 Suits)	1
Extremely Ambiguous & Dark Brown (5 Suits)	1
Omni-Fives & Dark Null (5 Suits)	1
Omni-Fives & Dark Null (6 Suits)	1
Omni-Fives & Dark Omni (5 Suits)	1
Omni-Fives & Dark Pink (5 Suits)	1
Brown-Ones & Null (4 Suits)	1
Omni-Fives & Null (5 Suits)	1
Pink-Fives & Dark Null (6 Suits)	1
Omni-Fives & Prism (4 Suits)	1
Light-Pink-Fives & Omni (4 Suits)	1
Deceptive-Ones & Dark Null (5 Suits)	1
Light-Pink-Fives & Omni (5 Suits)	1
Omni-Ones & Cocoa Rainbow (6 Suits)	1
Pink-Ones & Dark Omni (5 Suits)	1
Omni-Ones & Pink (4 Suits)	1
Alternating Clues & Dark Omni (5 Suits)	1
Alternating Clues & Dark Null (6 Suits)	1
Deceptive-Fives & Omni (4 Suits)	1
Pink-Fives & Pink (3 Suits)	1
Omni-Ones & Prism (6 Suits)	1
Deceptive-Ones & White (4 Suits)	1
Pink-Fives & Null (6 Suits)	1
Deceptive-Ones & Rainbow (3 Suits)	1
Pink-Fives & Null (3 Suits)	1
Pink-Fives & Muddy Rainbow (6 Suits)	1
Deceptive-Ones & Pink (6 Suits)	1
Deceptive-Ones & Null (6 Suits)	1
Deceptive-Ones & Null (3 Suits)	1
Muddy-Rainbow-Ones & Light Pink (3 Suits)	1
Muddy-Rainbow-Ones & Pink (3 Suits)	1
Pink-Fives & Gray Pink (5 Suits)	1
