game_id	count	score	variant	date	players
277746	3	0	Throw It in a Hole (6 Suits)	2020-08-22 — 21:43:49 UTC	Dr_Kakashi, Floriman, kimbifille
276871	3	0	Black & Gray (6 Suits)	2020-08-22 — 00:08:48 UTC	DMoney, Dr_Kakashi, kimbifille
276867	3	29	Black & Gray (6 Suits)	2020-08-22 — 00:01:53 UTC	DMoney, Dr_Kakashi, kimbifille
276861	3	0	Black & Gray (6 Suits)	2020-08-21 — 23:46:01 UTC	DMoney, Dr_Kakashi, kimbifille
276819	3	20	Throw It in a Hole (4 Suits)	2020-08-21 — 23:04:02 UTC	Dr_Kakashi, Floriman, kimbifille
276789	5	29	Throw It in a Hole (6 Suits)	2020-08-21 — 22:39:22 UTC	Dr_Kakashi, Floriman, kimbifille, postmans, scharkbite
276759	5	0	Throw It in a Hole (6 Suits)	2020-08-21 — 22:05:52 UTC	Dr_Kakashi, Floriman, kimbifille, postmans, scharkbite
276740	5	0	Throw It in a Hole (6 Suits)	2020-08-21 — 21:44:15 UTC	Dr_Kakashi, Floriman, kimbifille, postmans, scharkbite
276730	5	0	Throw It in a Hole (6 Suits)	2020-08-21 — 21:29:48 UTC	Dr_Kakashi, Floriman, kimbifille, postmans, scharkbite
276721	5	0	Throw It in a Hole (6 Suits)	2020-08-21 — 21:14:05 UTC	Dr_Kakashi, Floriman, kimbifille, postmans, scharkbite
276256	3	25	Light Pink & Dark Brown (5 Suits)	2020-08-21 — 04:39:04 UTC	DMoney, Dr_Kakashi, kimbifille
276240	3	0	Light Pink & Dark Brown (5 Suits)	2020-08-21 — 04:17:19 UTC	DMoney, Dr_Kakashi, kimbifille
276234	3	0	Light Pink & Dark Brown (5 Suits)	2020-08-21 — 04:12:10 UTC	DMoney, Dr_Kakashi, kimbifille
276223	3	0	Light Pink & Dark Brown (5 Suits)	2020-08-21 — 03:57:45 UTC	DMoney, Dr_Kakashi, kimbifille
276219	3	0	Light Pink & Dark Brown (5 Suits)	2020-08-21 — 03:48:35 UTC	DMoney, Dr_Kakashi, kimbifille
276209	3	0	Light Pink & Dark Brown (5 Suits)	2020-08-21 — 03:26:35 UTC	DMoney, Dr_Kakashi, kimbifille
276198	3	22	Light Pink & Dark Brown (5 Suits)	2020-08-21 — 02:55:08 UTC	DMoney, Dr_Kakashi, kimbifille
276185	3	0	Light Pink & Dark Brown (5 Suits)	2020-08-21 — 02:30:24 UTC	DMoney, Dr_Kakashi, kimbifille
276172	3	30	Cocoa Rainbow (6 Suits)	2020-08-21 — 02:06:06 UTC	DMoney, Dr_Kakashi, kimbifille
276129	3	28	Cocoa Rainbow (6 Suits)	2020-08-21 — 01:29:56 UTC	DMoney, Dr_Kakashi, kimbifille
276096	3	0	Cocoa Rainbow (6 Suits)	2020-08-21 — 00:57:52 UTC	DMoney, Dr_Kakashi, kimbifille
276073	3	0	Cocoa Rainbow (6 Suits)	2020-08-21 — 00:26:43 UTC	DMoney, Dr_Kakashi, kimbifille
276066	3	0	Cocoa Rainbow (6 Suits)	2020-08-21 — 00:18:17 UTC	DMoney, Dr_Kakashi, kimbifille
276064	3	0	Cocoa Rainbow (6 Suits)	2020-08-21 — 00:13:34 UTC	DMoney, Dr_Kakashi, kimbifille
276063	3	0	Cocoa Rainbow (6 Suits)	2020-08-21 — 00:11:18 UTC	DMoney, Dr_Kakashi, kimbifille
276056	3	0	Cocoa Rainbow (6 Suits)	2020-08-20 — 23:58:25 UTC	DMoney, Dr_Kakashi, kimbifille
276049	3	0	Cocoa Rainbow (6 Suits)	2020-08-20 — 23:47:02 UTC	DMoney, Dr_Kakashi, kimbifille
276046	3	0	Cocoa Rainbow (6 Suits)	2020-08-20 — 23:44:01 UTC	DMoney, Dr_Kakashi, kimbifille
276038	3	0	Cocoa Rainbow (6 Suits)	2020-08-20 — 23:35:01 UTC	DMoney, Dr_Kakashi, kimbifille
276034	3	29	Cocoa Rainbow (6 Suits)	2020-08-20 — 23:20:21 UTC	DMoney, Dr_Kakashi, kimbifille
276012	3	0	Cocoa Rainbow (6 Suits)	2020-08-20 — 22:50:42 UTC	DMoney, Dr_Kakashi, kimbifille
275999	3	27	Cocoa Rainbow (6 Suits)	2020-08-20 — 22:34:14 UTC	DMoney, Dr_Kakashi, kimbifille
275790	4	0	Black & Gray Pink (6 Suits)	2020-08-20 — 16:42:46 UTC	DMoney, Dr_Kakashi, Floriman, kimbifille
275475	3	0	Black & Gray Pink (6 Suits)	2020-08-20 — 02:02:37 UTC	DMoney, Dr_Kakashi, kimbifille
275460	3	0	Black & Gray Pink (6 Suits)	2020-08-20 — 01:46:15 UTC	DMoney, Dr_Kakashi, kimbifille
275447	3	0	Black & Gray Pink (6 Suits)	2020-08-20 — 01:31:57 UTC	DMoney, Dr_Kakashi, kimbifille
275423	3	27	Black & Gray Pink (6 Suits)	2020-08-20 — 01:08:10 UTC	DMoney, Dr_Kakashi, kimbifille
275408	3	0	Black & Gray Pink (6 Suits)	2020-08-20 — 00:50:56 UTC	DMoney, Dr_Kakashi, kimbifille
275402	3	0	Black & Gray Pink (6 Suits)	2020-08-20 — 00:45:15 UTC	DMoney, Dr_Kakashi, kimbifille
275399	3	0	Black & Gray Pink (6 Suits)	2020-08-20 — 00:43:05 UTC	DMoney, Dr_Kakashi, kimbifille
275395	3	0	Black & Gray Pink (6 Suits)	2020-08-20 — 00:39:06 UTC	DMoney, Dr_Kakashi, kimbifille
275392	3	0	Black & Gray Pink (6 Suits)	2020-08-20 — 00:31:16 UTC	DMoney, Dr_Kakashi, kimbifille
275384	3	0	Black & Gray Pink (6 Suits)	2020-08-20 — 00:22:09 UTC	DMoney, Dr_Kakashi, kimbifille
275378	3	0	Black & Gray Pink (6 Suits)	2020-08-20 — 00:10:01 UTC	DMoney, Dr_Kakashi, kimbifille
275371	3	0	Black & Gray Pink (6 Suits)	2020-08-19 — 23:52:50 UTC	DMoney, Dr_Kakashi, kimbifille
275358	3	0	Black & Gray Pink (6 Suits)	2020-08-19 — 23:19:58 UTC	DMoney, Dr_Kakashi, kimbifille
275347	4	25	Cow & Pig (5 Suits)	2020-08-19 — 22:57:54 UTC	DMoney, Dr_Kakashi, kimbifille, scharkbite
275334	4	0	Cow & Pig (5 Suits)	2020-08-19 — 22:37:53 UTC	DMoney, Dr_Kakashi, kimbifille, scharkbite
275315	4	0	Cow & Pig (5 Suits)	2020-08-19 — 22:24:30 UTC	DMoney, Dr_Kakashi, kimbifille, scharkbite
275309	4	0	Cow & Pig (5 Suits)	2020-08-19 — 22:14:55 UTC	DMoney, Dr_Kakashi, kimbifille, scharkbite
275297	4	0	Cow & Pig (5 Suits)	2020-08-19 — 22:00:06 UTC	DMoney, Dr_Kakashi, kimbifille, scharkbite
275284	5	0	Cow & Pig (6 Suits)	2020-08-19 — 21:43:25 UTC	DMoney, Dr_Kakashi, kimbifille, scharkbite, Zamiel
275263	5	0	Cow & Pig (6 Suits)	2020-08-19 — 21:24:18 UTC	DMoney, Dr_Kakashi, kimbifille, Valetta6789, Zamiel
275235	5	0	Cow & Pig (6 Suits)	2020-08-19 — 20:58:30 UTC	DMoney, Dr_Kakashi, kimbifille, Valetta6789, Zamiel
275226	5	0	Cow & Pig (6 Suits)	2020-08-19 — 20:40:43 UTC	DMoney, Dr_Kakashi, kimbifille, Valetta6789, Zamiel
274988	4	0	Dark Omni & Cocoa Rainbow (6 Suits)	2020-08-19 — 06:53:55 UTC	Dr_Kakashi, kimbifille, pianoblook, piper
274969	4	27	Dark Omni & Cocoa Rainbow (6 Suits)	2020-08-19 — 05:40:39 UTC	Dr_Kakashi, kimbifille, pianoblook, piper
274943	4	0	Dark Omni & Cocoa Rainbow (6 Suits)	2020-08-19 — 05:04:25 UTC	Dr_Kakashi, kimbifille, pianoblook, piper
274934	4	0	Dark Omni & Cocoa Rainbow (6 Suits)	2020-08-19 — 04:47:10 UTC	Dr_Kakashi, kimbifille, pianoblook, piper
274529	4	24	Dark Null (5 Suits)	2020-08-18 — 23:14:02 UTC	DMoney, Dr_Kakashi, Floriman, kimbifille
274483	6	0	Dark Null (5 Suits)	2020-08-18 — 22:36:14 UTC	DMoney, Dr_Kakashi, Floriman, kimbifille, pianoblook, scharkbite
274468	6	20	Dark Null (5 Suits)	2020-08-18 — 22:06:47 UTC	DMoney, Dr_Kakashi, Floriman, kimbifille, pianoblook, scharkbite
273732	4	0	Dark Null (6 Suits)	2020-08-17 — 23:31:00 UTC	DMoney, Dr_Kakashi, kimbifille, pianoblook
273713	4	0	Dark Null (6 Suits)	2020-08-17 — 23:04:42 UTC	DMoney, Dr_Kakashi, kimbifille, pianoblook
273708	4	0	Dark Null (6 Suits)	2020-08-17 — 22:52:56 UTC	DMoney, Dr_Kakashi, kimbifille, pianoblook
273700	4	0	Dark Null (6 Suits)	2020-08-17 — 22:44:30 UTC	DMoney, Dr_Kakashi, kimbifille, pianoblook
273696	4	0	Muddy Rainbow (6 Suits)	2020-08-17 — 22:34:34 UTC	DMoney, Dr_Kakashi, kimbifille, pianoblook
272628	5	0	Muddy-Rainbow-Fives & White (6 Suits)	2020-08-16 — 19:01:36 UTC	Dr_Kakashi, kimbifille, plus, Valetta6789, will.i.am
272609	5	0	Muddy-Rainbow-Fives & White (6 Suits)	2020-08-16 — 18:43:42 UTC	Dr_Kakashi, kimbifille, plus, Valetta6789, will.i.am
272595	4	0	Muddy-Rainbow-Fives & White (6 Suits)	2020-08-16 — 18:13:29 UTC	Dr_Kakashi, kimbifille, plus, Valetta6789
272585	4	25	Rainbow-Fives & Muddy Rainbow (5 Suits)	2020-08-16 — 17:47:16 UTC	Dr_Kakashi, Fireheart, kimbifille, plus
272560	3	0	Rainbow-Fives & Muddy Rainbow (5 Suits)	2020-08-16 — 17:15:13 UTC	Fireheart, kimbifille, plus
272243	5	20	Dark Null (5 Suits)	2020-08-16 — 03:58:36 UTC	Dr_Kakashi, kimbifille, Kyle, pianoblook, piper
272187	5	0	Dark Null (5 Suits)	2020-08-16 — 03:21:43 UTC	Dr_Kakashi, kimbifille, Kyle, pianoblook, piper
272183	5	0	Dark Null (5 Suits)	2020-08-16 — 03:16:57 UTC	Dr_Kakashi, kimbifille, Kyle, pianoblook, piper
272161	5	21	Dark Null (5 Suits)	2020-08-16 — 02:56:53 UTC	Dr_Kakashi, kimbifille, Kyle, pianoblook, piper
272142	5	0	Dark Null (5 Suits)	2020-08-16 — 02:30:32 UTC	Dr_Kakashi, kimbifille, Kyle, pianoblook, piper
272135	4	0	Dark Null (5 Suits)	2020-08-16 — 02:17:53 UTC	Dr_Kakashi, kimbifille, pianoblook, piper
272123	4	0	Dark Null (5 Suits)	2020-08-16 — 02:02:33 UTC	Dr_Kakashi, kimbifille, pianoblook, piper
272110	4	24	Dark Null (5 Suits)	2020-08-16 — 01:45:10 UTC	Dr_Kakashi, kimbifille, pianoblook, piper
272086	5	0	Special Mix (5 Suits)	2020-08-16 — 01:00:28 UTC	Dr_Kakashi, kimbifille, pianoblook, piper, scharkbite
272078	5	0	Special Mix (5 Suits)	2020-08-16 — 00:46:22 UTC	Dr_Kakashi, kimbifille, pianoblook, piper, scharkbite
272064	5	22	Special Mix (5 Suits)	2020-08-16 — 00:24:32 UTC	Dr_Kakashi, kimbifille, pianoblook, piper, scharkbite
272019	4	23	Dark Null (5 Suits)	2020-08-15 — 23:37:26 UTC	DMoney, Dr_Kakashi, kimbifille, pianoblook
272003	4	0	Dark Null (5 Suits)	2020-08-15 — 23:20:03 UTC	DMoney, Dr_Kakashi, kimbifille, pianoblook
271997	4	0	Dark Null (5 Suits)	2020-08-15 — 23:10:26 UTC	DMoney, Dr_Kakashi, kimbifille, pianoblook
271979	5	25	Black & Gray (6 Suits)	2020-08-15 — 22:48:01 UTC	DMoney, Dr_Kakashi, Floriman, kimbifille, pianoblook
271963	5	0	Black & Gray (6 Suits)	2020-08-15 — 22:19:16 UTC	DMoney, Dr_Kakashi, Floriman, kimbifille, pianoblook
271939	3	27	Black & Dark Brown (6 Suits)	2020-08-15 — 21:58:06 UTC	Dr_Kakashi, Floriman, kimbifille
271914	3	0	Black & Dark Brown (6 Suits)	2020-08-15 — 21:34:04 UTC	Dr_Kakashi, Floriman, kimbifille
271893	3	28	Black & Dark Brown (6 Suits)	2020-08-15 — 21:15:41 UTC	Dr_Kakashi, Floriman, kimbifille
271872	3	0	Black & Dark Brown (6 Suits)	2020-08-15 — 20:56:37 UTC	Dr_Kakashi, Floriman, kimbifille
271859	3	0	Black & Dark Brown (6 Suits)	2020-08-15 — 20:43:16 UTC	Dr_Kakashi, Floriman, kimbifille
271837	3	0	Black & Dark Brown (6 Suits)	2020-08-15 — 20:19:25 UTC	Dr_Kakashi, Floriman, kimbifille
271825	3	0	Black & Dark Brown (6 Suits)	2020-08-15 — 20:09:12 UTC	Dr_Kakashi, Floriman, kimbifille
271814	3	0	Black & Dark Brown (6 Suits)	2020-08-15 — 19:53:20 UTC	Dr_Kakashi, Floriman, kimbifille
271196	3	0	Dark Omni (6 Suits)	2020-08-15 — 02:05:07 UTC	Dr_Kakashi, kimbifille, will.i.am
271181	3	0	Dark Omni (6 Suits)	2020-08-15 — 01:42:35 UTC	Dr_Kakashi, kimbifille, will.i.am
271172	3	0	Dark Omni (6 Suits)	2020-08-15 — 01:34:00 UTC	Dr_Kakashi, kimbifille, will.i.am
271050	3	0	Pink-Ones & Dark Pink (5 Suits)	2020-08-14 — 23:21:04 UTC	Dr_Kakashi, kimbifille, plus
271037	3	0	Pink-Ones & Dark Pink (5 Suits)	2020-08-14 — 23:10:53 UTC	Dr_Kakashi, kimbifille, plus
271031	3	0	Pink-Ones & Dark Pink (5 Suits)	2020-08-14 — 23:01:31 UTC	Dr_Kakashi, kimbifille, plus
271016	3	0	Pink-Ones & Dark Pink (5 Suits)	2020-08-14 — 22:47:30 UTC	Dr_Kakashi, kimbifille, plus
270989	5	25	Ambiguous & Light Pink (5 Suits)	2020-08-14 — 22:20:48 UTC	Dr_Kakashi, Floriman, kimbifille, Kyle, plus
270971	5	0	Rainbow (3 Suits)	2020-08-14 — 21:55:44 UTC	DMoney, Floriman, kimbifille, Kyle, plus
270964	5	0	Rainbow (3 Suits)	2020-08-14 — 21:46:15 UTC	DMoney, Floriman, kimbifille, Kyle, plus
270950	3	25	Null (5 Suits)	2020-08-14 — 21:27:15 UTC	DMoney, Floriman, kimbifille
270939	3	0	Null (5 Suits)	2020-08-14 — 21:09:32 UTC	DMoney, Floriman, kimbifille
270925	3	0	Null (5 Suits)	2020-08-14 — 20:55:05 UTC	DMoney, Floriman, kimbifille
270914	3	0	Null (5 Suits)	2020-08-14 — 20:48:26 UTC	DMoney, Floriman, kimbifille
270903	3	30	Omni (6 Suits)	2020-08-14 — 20:34:53 UTC	DMoney, Floriman, kimbifille
270892	6	0	Omni (6 Suits)	2020-08-14 — 20:09:39 UTC	DMoney, Floriman, joelwool, kimbifille, melwen, scharkbite
270590	4	0	Dark Omni (6 Suits)	2020-08-14 — 05:42:35 UTC	kimbifille, plus, will.i.am, Zamiel
270571	3	0	Black & Dark Rainbow (6 Suits)	2020-08-14 — 05:19:00 UTC	kimbifille, will.i.am, Zamiel
270558	3	27	Black & Dark Rainbow (6 Suits)	2020-08-14 — 05:00:29 UTC	kimbifille, will.i.am, Zamiel
270542	3	0	Black & Dark Rainbow (6 Suits)	2020-08-14 — 04:44:06 UTC	kimbifille, will.i.am, Zamiel
270528	5	29	Muddy Rainbow (6 Suits)	2020-08-14 — 04:25:02 UTC	Fireheart, kimbifille, plus, TheDaniMan, Zamiel
270507	4	0	Null-Ones (4 Suits)	2020-08-14 — 03:58:42 UTC	Fireheart, kimbifille, TheDaniMan, Zamiel
270491	4	0	Null-Ones (4 Suits)	2020-08-14 — 03:43:13 UTC	Fireheart, kimbifille, TheDaniMan, Zamiel
270480	4	25	Null-Ones (5 Suits)	2020-08-14 — 03:33:23 UTC	Fireheart, kimbifille, TheDaniMan, Zamiel
270458	3	0	Null-Ones (5 Suits)	2020-08-14 — 03:21:22 UTC	kimbifille, TheDaniMan, Zamiel
270440	4	30	Null-Ones (6 Suits)	2020-08-14 — 03:08:30 UTC	kimbifille, Kyle, TheDaniMan, Zamiel
270402	3	30	Null-Ones (6 Suits)	2020-08-14 — 02:37:43 UTC	Fireheart, kimbifille, Zamiel
270383	3	0	Null-Ones (6 Suits)	2020-08-14 — 02:23:40 UTC	Fireheart, kimbifille, Zamiel
270371	6	0	Null-Ones (6 Suits)	2020-08-14 — 02:13:16 UTC	Ahming, Fireheart, kimbifille, Kyle, will.i.am, Zamiel
270350	5	18	Rainbow & Omni (4 Suits)	2020-08-14 — 01:57:37 UTC	DMoney, Fireheart, kimbifille, Kyle, plus
270323	4	0	Rainbow & Omni (3 Suits)	2020-08-14 — 01:28:58 UTC	DMoney, kimbifille, Kyle, plus
270312	4	0	Rainbow & Omni (3 Suits)	2020-08-14 — 01:16:10 UTC	DMoney, kimbifille, Kyle, plus
269354	4	0	Black & Light Pink (6 Suits)	2020-08-13 — 00:53:51 UTC	Ahming, kimbifille, kooolant, Zamiel
269333	6	0	Black & Light Pink (6 Suits)	2020-08-13 — 00:34:44 UTC	Ahming, kimbifille, kooolant, Maiorskills, plus, Zamiel
269326	6	0	Black & Light Pink (6 Suits)	2020-08-13 — 00:20:44 UTC	Ahming, kimbifille, kooolant, Maiorskills, plus, Zamiel
269315	6	0	Black & Light Pink (6 Suits)	2020-08-13 — 00:06:50 UTC	Ahming, kimbifille, kooolant, Maiorskills, plus, Zamiel
269295	5	0	Black & Light Pink (6 Suits)	2020-08-12 — 23:35:56 UTC	Ahming, kimbifille, Maiorskills, plus, Zamiel
269266	4	0	Black & Light Pink (5 Suits)	2020-08-12 — 23:01:52 UTC	Ahming, kimbifille, Maiorskills, Zamiel
269259	4	0	Black & Light Pink (5 Suits)	2020-08-12 — 22:52:30 UTC	Ahming, kimbifille, Maiorskills, Zamiel
269234	4	0	Black & Light Pink (5 Suits)	2020-08-12 — 22:28:46 UTC	kimbifille, Maiorskills, pianoblook, Zamiel
269218	4	0	Black & Light Pink (5 Suits)	2020-08-12 — 22:10:43 UTC	kimbifille, Maiorskills, pianoblook, Zamiel
