Words	Frequency	Number of vocabularies (Max = 33)
again	439	29
lel	439	17
unless	437	27
t15:	437	13
brown	435	32
kimbi	434	24
hm	431	17
2s	431	25
null	429	28
than	427	28
loaded	426	30
b2e	426	15
[5cm]	425	7
cannot	423	22
---->	423	4
needs	421	27
elim-->	421	2
...	419	20
t19:	419	11
declined	418	24
lanvin	416	24
r4e	416	14
piano	414	27
which	414	29
pretty	414	26
unnecessary	413	28
rg	413	25
neg	410	24
t20:	406	14
gb	405	21
plz	403	13
4s	403	24
a2	403	31
af	400	17
2g	398	9
im	397	14
bombs	397	22
t16:	396	12
works	395	27
discarding	395	27
shouldn't	394	27
t18:	389	14
3r	388	8
2r	388	8
hard	386	30
intended	385	23
g4e	385	11
[5]	384	22
x	383	18
t21:	382	14
wasn't	381	25
prio'd	381	12
[r2]	381	19
makes	378	25
t17:	376	13
another	375	30
y2e	375	14
technically	373	25
!5	373	21
haha	372	19
!playable	371	8
may	369	23
indego	368	19
4b	368	9
[r3]	367	19
draw	366	28
b4e	364	14
kinda	362	24
!3	357	29
dont	356	19
piper	354	19
uh	354	19
should've	354	14
interesting	353	25
priority	353	28
done	352	28
crap	351	16
black	350	29
r3e	349	12
t26:	348	10
[b2]	346	19
[g2]	346	18
given	345	26
enough	345	27
t25:	345	12
ejection	344	28
t1:	344	18
locked	343	31
certain	343	27
hmmm	343	23
much	341	27
else	341	27
idea	341	27
illegal	341	29
[g3]	339	23
[b3]	339	22
2y	339	8
wow	338	23
<--	338	5
mel	337	17
l3	335	31
she	335	24
4r	334	12
4g	334	9
i'll	333	21
pres	333	3
into	332	26
t23:	331	12
layered	329	27
0	329	28
t22:	329	14
opc	328	28
5s	325	24
7	325	24
g3e	325	13
risk	324	27
your	324	25
yb	324	24
yg	320	24
over	319	26
fake	319	27
let's	318	26
>	318	22
already	317	29
pass	317	29
we're	316	20
shout	315	21
c	314	20
before	313	28
t10	312	24
t6	312	21
promise	311	26
level	308	28
b3e	308	12
3y	308	10
believe	307	28
[sdcm]	307	10
least	306	25
2pp	305	9
attempted	305	20
ry	304	23
[y2]	304	19
sf[cm]	304	1
definitely	302	24
spooked	302	10
[4]	302	18
lul	301	14
6	301	23
whoops	300	12
g34	300	22
k34	300	24
b34	300	26
..	298	9
yeah	297	27
damn	296	19
sin	296	19
kyle	294	28
t13	294	19
l2	294	30
r34	294	28
t28:	294	10
[ocm]	294	8
sense	292	25
got	291	27
u	291	25
unclued	291	13
sn	290	7
adrone	289	19
doing	289	28
being	289	22
notes	289	28
bombed	289	26
god	288	19
:)	288	22
s	288	28
otherwise	286	25
c2	286	30
o7	286	4
gotten	285	28
y4e	285	12
t11	284	21
t8	284	19
c3	284	29
shit	283	17
hoping	283	23
prefer	282	19
stephen	280	16
useful	280	24
hesitation	280	25
surely	280	16
t24:	280	9
wanted	279	27
blind	276	30
order	275	28
use	275	28
//	275	3
sad	274	26
dumb	273	20
t30:	273	10
try	272	27
chance	272	25
n25	272	21
almost	271	27
eh	270	12
l4	270	31
[b4]	269	19
[r4]	269	18
t29:	268	10
most	267	25
kekw	267	7
unclear	265	14
t18	265	15
t9	265	19
[cm]?	265	19
t17	264	23
[y3]	264	18
t7	262	21
feel	261	23
crit	261	20
bluffed	260	28
[3]	260	19
yikes	260	10
suspect	259	19
white	259	25
t14	259	23
y3e	259	12
these	258	24
12	258	28
t27:	258	9
tp	257	16
t20	256	18
.	256	13
[fixme]	256	15
lmao	256	13
dr[cm]	256	1
critical	255	30
c4	255	29
!i	253	21
t15	252	21
target	250	23
4y	250	7
t12	248	21
lose	247	25
trying	246	25
stupid	246	23
same	244	28
ens	243	3
mean	242	26
confused	241	25
yes	241	25
blaze	241	29
thanks	241	21
okay	240	13
omni	240	31
tell	239	26
t23	239	24
always	239	24
t31:	239	12
t21	237	19
t16	237	19
[g4]	237	21
charm	236	28
tho	235	13
y34	235	23
b5e	234	12
discharge	233	28
t32:	233	11
occupied	231	25
certainly	229	19
g5e	229	10
t25	228	23
t24	228	23
won't	228	22
t33:	228	10
fillin	227	9
case	227	24
ambiguous	223	23
m34	223	24
back	222	25
nothing	222	24
t19	222	19
t34:	222	12
necessary	220	25
p23	220	25
unlikely	219	20
saved	219	30
start	218	25
potentially	218	19
pos	218	14
kakashi	217	20
!m	217	20
wth	216	11
go	215	28
y5e	215	11
finessed	214	26
prism	214	27
r5e	214	11
15	213	27
4db	213	21
b45	213	23
anything	212	25
wut	212	12
anyway	211	24
a1	211	28
cant	210	12
fine	210	24
[b1]	209	16
cause	208	20
free	208	27
expected	208	22
1b	208	9
heck	208	7
ever	207	26
2m	207	7
[2]	206	21
worth	205	22
[y4]	205	21
r45	205	18
its	204	13
perhaps	204	11
take	204	25
kill	204	25
[tccm]	203	14
generation	202	23
wonder	202	22
3/4	202	15
l	202	20
t35:	202	12
bg	202	21
[r1]	202	15
getting	201	23
t22	201	17
lie	201	30
presumably	200	11
t30	200	18
sadge	200	13
[g1]	200	13
super	199	20
line	199	18
discards	199	25
????	199	20
bp	199	23
[f]?	198	19
i34	198	19
probs	198	7
reverse	197	25
amb	197	13
245	197	18
5g	197	8
[gd]	197	9
t28	196	20
a5	196	25
baton	196	20
br	196	19
1r	196	7
moved	195	22
2p	195	17
rp	195	24
u[cm]	195	3
were	194	25
woops	194	8
8cs	194	12
yay	193	17
gr	193	22
gp	193	19
bombing	192	19
duped	192	27
what's	192	19
3p	192	16
def	191	15
5b	191	8
s2	190	26
gets	189	26
we'll	189	19
!r3	189	17
1g	189	7
pulled	188	22
<3	188	11
[fixed]	188	2
feels	187	18
m234	187	18
his	185	26
potential	185	21
needed	184	26
10	183	23
!	183	19
point	182	25
clear	182	26
inversion	182	25
away	182	28
thing	182	27
!r5	182	18
5r	182	7
they	181	29
hmmmm	181	14
yp	181	23
gunna	181	1
eject	180	25
lib	180	9
there's	180	18
dobi	178	21
two	178	23
next	177	26
undo	176	17
anymore	175	23
yet	175	26
risky	175	19
yr	175	20
clearly	174	20
dani	174	19
misplay	174	23
wanna	173	17
5stall	173	16
who	173	24
db	172	20
3m	172	9
welp	171	13
t27	171	17
play-->	171	1
235	171	19
t37:	171	10
sus	171	17
g45	171	19
giving	170	20
bit	170	21
(or	170	18
duping	170	18
echo	170	20
pace	169	24
t26	169	19
toss	169	4
3pp	168	9
yea	168	3
!12	168	16
meh	167	11
great	167	23
zam	167	21
strong	167	15
totally	166	16
[p3]	166	19
t39:	166	10
multi	165	19
sees	165	20
thank	164	22
m45	164	22
d	163	17
reason	162	23
shoulda	161	7
t29	161	16
s3	161	26
i2e	161	8
9	160	16
seph	160	18
t38:	160	11
14	160	20
play1	160	2
[y1]	160	13
lvl	159	21
t32	159	17
keep	158	25
where	158	22
!4	158	21
4m	157	8
[p2]	157	15
lot	156	22
1y	156	7
many	155	29
t31	155	20
n45	155	18
4p	155	7
us	154	26
means	154	26
cm'd?	154	11
i'd	154	14
apparently	154	20
muddy	153	21
stomp	153	23
c1	153	24
burn	152	21
understand	152	27
kind	152	24
cmed	152	10
ignition	151	25
t40:	151	12
gy	151	22
yep	151	14
!b3	151	18
made	150	24
11	150	18
y45	150	16
thx	150	8
100%	149	20
down	149	27
m25	149	19
5y	149	8
markus	148	23
round	148	19
udd	147	19
!g3	147	22
!g5	147	16
helana	147	17
marks	147	9
sk[cm]	147	1
touched	146	23
left	146	24
s4	146	27
t36:	146	10
stop	145	29
libster	145	15
i4e	145	11
bubblegum	144	18
teal	144	31
allowed	144	22
-.-	144	7
say	143	21
best	143	27
cool	143	24
info	143	21
13	143	21
o23	143	20
lost	142	23
later	142	22
gotta	142	17
lucky	142	24
5pull	142	16
win	142	21
earlier	142	23
saving	142	22
help	142	23
ugh	142	14
frosty	142	15
suboptimal	141	25
somehow	141	27
yolo	141	17
skip	141	16
delayed	140	27
die	140	24
t33	140	16
j	140	2
single	139	24
until	139	24
geez	139	6
florrat	138	8
oooh	138	5
hahaha	137	10
tried	137	25
once	137	22
lolol	137	10
mark	137	19
g1e	137	12
nah	136	19
uf[cm]	136	1
!g2	135	17
o34	135	20
t42:	135	12
!b5	135	17
ig	135	12
melwen	134	20
available	133	23
bluffs	133	24
lock	133	26
!r4	133	17
5p	133	16
3i	133	6
clearer	132	21
gave	132	23
note	132	24
pablo	132	16
ctd	132	6
gm	131	17
woah	131	9
expecting	131	16
y1e	131	13
using	130	23
t35	130	18
p4e	130	10
soon	129	21
isnt	128	12
:'(	128	7
cancelled	128	7
p2e	128	11
mp[cm]	128	1
2i	128	4
t37	127	18
tbh	127	15
wouldn't	127	21
r1e	126	13
t_t	126	2
fault	125	18
t36	125	17
jeff	125	21
big	125	25
l1	125	23
4i	125	6
somewhere	124	17
thinking	124	23
worked	124	24
!w	124	23
b1e	124	10
dang	124	10
!y5	124	13
legal	123	21
t41:	123	8
little	122	19
yup	121	17
l5	121	22
t34	121	24
timo	121	16
zcsp	121	8
o_o	121	2
him	120	23
unknown	120	24
16	120	18
1m	120	6
[i2]	120	13
assuming	119	16
real	119	24
variant	119	21
m2e	119	9
dunno	118	13
didnt	118	11
meant	118	24
hes	118	14
d3	118	20
!g4	118	17
knew	117	23
dupes	117	15
di	117	14
!b2	117	22
!i2	117	14
[i3]	117	14
t44:	117	10
colour	117	7
t40	116	16
sloppy	116	9
[unclued]	116	8
expect	115	19
shadow	115	25
true	115	22
pd	115	8
t43:	115	7
figure	114	20
screamed	114	20
quite	114	17
except	114	21
looked	114	18
?????	114	18
fill	114	20
nm	114	8
!y3	114	16
uhhh	114	10
5m	114	7
such	113	22
18	113	17
kevin	113	16
(but	113	14
schark	112	15
someone	112	23
!m3	112	16
!r2	112	19
:s	112	4
suppose	111	12
shoot	111	11
i've	111	14
phantom	111	21
pls	111	13
he's	111	21
c5	111	23
i23	111	23
!b4	111	16
ri	110	16
long	109	26
them	109	24
less	109	21
things	109	21
blindplay	109	13
p34	109	22
n23	109	24
r24	109	16
!crit	109	3
doesnt	108	11
find	108	18
!i5	108	15
5nd	107	25
assumed	107	17
attempt	107	21
jack	107	16
ooo	107	19
steal	107	22
lets	106	14
4pp	106	9
come	106	17
confirmed	105	13
d4	105	16
you're	105	16
ooh	105	10
phew	105	9
p3e	105	11
[p1]	105	10
d2	104	17
v	104	13
20	104	14
man	103	18
longer	103	15
negative	103	18
t38	103	17
confusing	103	25
[p4]	103	16
hidden	103	19
derek	103	19
monkas	103	5
gray	102	20
second	102	21
rainbow	102	25
17	102	19
bi	102	16
21	102	15
valid	102	18
i3e	102	7
wat	102	10
duke	101	12
[1]	101	16
i45	101	19
y24	101	19
i5e	101	9
ft1	101	1
worst	100	14
rather	100	18
losing	100	20
dup	100	8
pov	100	16
!y2	100	21
rz	100	12
[i4]	100	14
dangerous	100	14
!t	100	19
