player,teammate,weight
123check ,espressoforever,1
123check ,Hellothere,3
123check ,newKid,3
123ffdvadfg,lisaaaaaaaaaa,5
123lululu,afafafa,2
123lululu,awildcantaloupe,3
123lululu,mstrch33f2,3
123lululu,napplesauce,3
123piano,Jarrik123,1
123piano,Maries1,1
123piano,mqosieghpoihrt,1
123Test,monal12345,2
123Test,priyalgarg,2
123Test,tuunam,2
124ejwxmk11,Aaron,1
124ejwxmk11,BIgManPoopy,1
124ejwxmk11,Shigetora,1
1266489,bbl0104,1
1266489,honzas,1
1266489,jlweller,1
1266489,Kyle,1
1266489,Lynet,2
1266489,MarkusKahlsen,2
1266489,micerang,1
1266489,Padouga,3
1266489,sin_faith,1
1266489,SmellyJoe,3
12Adraymore,Eric_shadowfax,1
12Adraymore,minion222,1
12Adraymore,Peter23324,1
12AZ12AZ,Inygo2,1
12chee,daxian,5
12chee,hangzhou,3
12chee,knaphill,5
12tlbh,13ezsp,9
12tlbh,Erica48,2
12tlbh,Maples,2
12tlbh,Maples423,9
12tlbh,SunKing,4
1301834714987,youngmedical,1
131242069,alyjk,1
131242069,leftist,1
13212313,chiung,2
13212313,namchi,2
13212313,realyyyyjjj,2
1342805280,dewakipas,8
1342805280,memeking,8
13579,Pods,13
13alazs,sassdvd,1
13chow13,marge,1
13chow13,moonzappa,1
13ezsp,Bananaman,1
13ezsp,Boopers,8
13ezsp,kaykay,3
13ezsp,Kip,1
13ezsp,KLCK1009,1
13ezsp,Maples,122
13ezsp,Maples423,45
13ezsp,shadowlord,1
13ezsp,Shoober,8
13ezsp,Shooter,5
13ezsp,St0ny_t0Ny,1
13ezsp,SubPing,2
13ezsp,Sun King,33
13ezsp,SunKing,31
13ezsp,SwifferMop,10
13ezsp,tyehams,136
13ulldog,DrGandhiPHD,15
13ulldog,JesusMom,15
13ulldog,sakaesushi,9
1428,clemonmp,11
1428,forsure,3
1428,kapowski,2
1428,kbocks,8
1428,kbocks1,3
1428,slaterr,4
150essonly,Bobers,2
150essonly,hfigstt,2
150essonly,ran,2
152Street,Fishy_Nonsense2,1
152Street,Magian,1
152Street,Marpharos,4
152Street,nomblewomble,3
152Street,rags21,2
152Street,Squiggly,1
156979,fortuniggi,3
156979,Joajito,4
15charorless,MazKanata,1
15charorless,OlorinOfValinor,1
15charsorless,Bossmang,1
15charsorless,celeryspuds,1
15charsorless,Thetwam,1
15charsorless,zenith110,1
15hogem,Andypnc,1
15hogem,mel,1
15hogem,TylorDz,1
15jGKcIqUuZ,broadfjord,2
15jGKcIqUuZ,kristinessssss,2
15jGKcIqUuZ,shooka24,2
15primaveras,blalalala,1
15primaveras,ditrocks,1
15primaveras,Famiky,1
15R437,AlexH,2
15R437,shimmerstar,2
15R437,unrealretro,2
15squaredis225,elvis,3
15squaredis225,w0987,3
16aaar,aiweiwei,5
16aaar,calvinballing,1
16aaar,emailalhays,1
16aaar,jeff10,1
16aaar,lotem,1
16aaar,PMP,1
16aaar,sean1815,1
16aaar,Tartine,2
16ar,Emagonis,16
16ar,FrancoisB,4
16ar,martin.ramette,16
16ar,matdout,1
16ar,Mouli_Moule,1
16ar,Seboulbah,16
1738aye,cappybara,1
1738aye,NutBuster420,1
1738aye,rotund,1
1738ayee,calvinprice,1
1738ayee,cappybara,1
1738ayee,rach,1
1738ayee,thelehmansister,1
1745gjiotshs,omerfink,4
17acutter,sayali_amin,1
17acutter,smudger421,1
17acutter,vikram.mathew,1
17ar17,hapicm,3
17ar17,joodith,3
17jchoi,alex1005,1
17jchoi,arimlee,1
17jchoi,cceses,2
17jchoi,cuddli,1
17jchoi,justinjlee99,2
17jchoi,Liusanity,3
17jchoi,wucaro,3
17thCowboy,HAMAIN,2
17thCowboy,hamhamham,3
17thCowboy,samdfnakjfn,5
17thCowboy,Stefankberg,8
1836241792,boobzu,2
1836241792,dachs,2
1836241792,Ida,2
1836241792,K-Cookie,2
1836241792,Tulpe,2
18673057558,18683057558,4
18673057558,hf254065,3
18673057558,lnxy123,4
18673057558,lnxy1234,1
18683057558,hf254065,2
18683057558,lnxy123,4
18o吃,gj,1
18o吃,syu2,1
18o吃,Yanhui,1
192.168.0.2,carrotcale,20
192.168.0.2,Chongz,1
192.168.0.2,jez_io,17
192.168.0.2,k8,6
192.168.0.2,kateyu,5
192.168.0.2,kruwton,5
192.168.0.2,lnnotes,5
192.168.0.2,mc1234,1
192.168.0.2,pat8034442,6
192.168.0.2,theexyw,3
192.168.0.2,ugeen,6
192837465748391,Mativind,1
192837465748391,Vander97,1
19327865,arieschann,14
19327865,sircomrade,15
19327865,StupidComrade,1
1982960727,2kat,8
1982960727,3ele,34
1982960727,battlefs,8
1982960727,ColdTēa,10
1982960727,dra,33
1982960727,GarrettChan,80
1982960727,lay_713,3
1982960727,lnxy_777,4
1982960727,Lnxy777,3
1982960727,opsss122,16
1982960727,reddoor,5
1982960727,Utopia,21
19mery97,r3663,1
1amtheman,dhruvpillai6,2
1amtheman,hoodrobin,2
1amtheman,pp802,2
1ar7,hapicm,1
1ar7,joodith,1
1ar7,tiffanyzhu20,1
1aya,eic.luca,1
1aya,KathiG,1
1aya,marleneeee,1
1aya,nanceppunkt,1
1darco1,benedikt420,2
1darco1,Dierk,2
1darco1,lololol,1
1darco1,mhassler,2
1foolishhuman,vlykes,2
1foolishhuman,zowlhedwig,1
1lar1a,GregC,226
1lar1a,joedavison,2
1lar1a,nicolaz,309
1lar1a,r5lacey,2
1lar1a,rob,364
1mac1,ABHanabi,4
1mac1,joelmain,4
1morefu,Capt_morgan,3
1morefu,deathbybees,2
1morefu,evoi9,4
1morefu,jt932022,2
1morefu,Lyriu,3
1morefu,RoflOmega,4
1morefu,solontus,3
1morefu,xd123456,1
1morefu,zozos,4
1namu,ealster2004,4
1nsurrection,alleach24,1
1nsurrection,BlueSocialist,3
1nsurrection,dadallas1202,1
1nsurrection,lboddiford,3
1pluschicken,gmma,1
1pluschicken,honeyg,1
1pluschicken,junoyuno,1
1pluschicken,lalimo21,1
1riccardo,andybergon,5
1riccardo,Cristina,8
1riccardo,Giulist ,3
1riccardo,saraquarantine,6
1RSA2,claudialeung,2
1RSA2,clodia,2
1RSA2,sadrsa,2
1solja,clueless,2
1solja,dudleydemented,2
1solja,EtlogPanda,2
1solja,isthisangela,1
1solja,itsPaul,6
1solja,lilmukdumpster,5
1solja,samp830,3
1vooger,anlong,1
1vooger,hoped,1
1vooger,szabom,1
1waterbender,puja,3
1waterbender,spicyramen,3
1xavi2,awildcantaloupe,42
1xavi2,MapleMcCraw,2
1xavi2,mstrch33f,43
1xavi2,RightYLeftN,23
1xavi2,TheTrifecta,6
1xavi2,tony,24
2.5boys,morglurt,2
2.5boys,secretfunnel,2
2.5boys,ssaldana96,2
2.71828mily,Bearded_Titan,11
2.71828mily,BoundlessVovix,12
2.71828mily,evancrites,1
2.71828mily,heliwr1,3
2.71828mily,Scruff,1
2.718mily,BoundlessVovix,2
2.718mily,Spaceman98,2
2009ericfa2,eliclax,11
2009ericfa2,Kazu,7
2009ericfa2,KneeDoctor,3
2009ericfa2,KneeDoctor01,2
2009ericfa2,KneeDoctor02,2
