Username	Rank	Seek	Hide
wshin0104	-1.0	none	none
nitawa	-0.5	jack67889 (33%), Pablo- (26%), Nitrate (26%), Nitrate2 (26%)	Sucubis (22%), XMIL (22%), antitelharsic (20%), sephiroth (14%)
SpaceAnemone	-2.0	none	none
Feich59	-2.0	none	none
null	-2.0	none	none
Razgovor	-2.0	none	none
solarstar92	-2.0	none	none
Onen	-2.0	none	none
forgotmyacct	-2.0	none	none
DrDrej	-2.0	none	none
JackFrost	-2.0	none	none
Aluap	-3.0	whensepoop (24%)	antitelharsic (17%)
Animex52	-1.5	boba (15%)	catula (13%)
duckmedic	-3.0	wump (12%)	none
IsabeltheCat	-3.0	Lanvin (19%)	newduke (6%), 4head (6%)
Wittvector	-0.5	rz (26%), jack67889 (21%), TimeHoodie (19%), Hoodie (19%), MangoPie (19%)	melwen (13%), newduke (13%), Lanvin (12%), ChristopheAF (12%), indego (9%)
Huxley	-3.0	none	none
william65537	-1.5	none	none
joelwool	-1.0	none	none
Krepps57	-1.5	none	none
Cory	-3.0	none	none
kooolant	-3.0	none	none
Livia	-1.33	Valetta6789 (26%), IAMJEFF (22%), Dr_Kakashi (20%), scharkbite (19%), invarse (19%)	Floriman (18%), Kyle (16%), DMoney (15%), Zamiel (14%), Sucubis (12%)
swineherd	-4.0	TimeHoodie (26%), Hoodie (25%), MarkusKahlsen (24%), Kyle (19%), asaelr (19%)	TheDaniMan (17%), derekcheah (17%), melwen (15%), sephiroth (14%), will.i.am (7%)
Andrew_UK	-4.0	none	none
Durandal	-1.67	HelanaAshryvr (18%), Lanvin (16%)	squirrel1988 (9%), boba (7%)
pianoblook	-0.5	piper (36%), kimbifille (32%), ADrone (27%), fishcat (24%), TheDaniMan (22%)	will.i.am (13%), DMoney (13%), sephiroth (12%), Kyle (11%), Zamiel (8%)
RaKXeR	-2.5	Dr_Kakashi (20%), Kakashi (20%), Fireheart (19%)	florrat2 (15%), Libster (14%), Zamiel (11%)
mattnabi	-2.5	none	none
Romain672	-1.25	none	none
FrozenWinters	-5.0	none	none
antitelharsic	-2.0	whensepoop (23%), Littleinvad (20%), Pablo- (20%)	nitawa (20%), XMIL (19%), Aluap (17%)
kopen	-2.0	micerang (40%), scharkbite (21%), Dr_Kakashi (18%), Fireheart (17%)	Valetta6789 (16%), IAMJEFF (16%), Kyle (13%), Zamiel (13%), indego (13%)
VerySloppyTwo	-1.75	MangoPie (17%), Lanvin (17%), Lel0uch (13%)	sephiroth (12%), indego (9%), ChristopheAF (5%)
Jake_Stiles	-2.0	scharkbite (22%), Valetta6789 (22%), micerang (22%), asaelr (20%), Kyle (19%)	IAMJEFF (18%), solarstar92 (17%), Zamiel (12%), Fireheart (10%), DMoney (5%)
lotem	-2.67	none	none
catula	-2.25	jack67889 (20%), sephiroth (17%)	Animex52 (13%), Lel0uch (12%), Sucubis (9%)
Fireheart	-1.29	Valetta6789 (29%), asaelr (27%), micerang (23%), Floriman (23%), Kyle (20%)	Romain672 (16%), Sucubis (16%), Jake_Stiles (10%), Zamiel (10%), DMoney (9%)
squirrel1988	-2.25	bjnh (17%), HelanaAshryvr (17%), Lanvin (16%)	melwen (10%), Lel0uch (9%), Durandal (9%)
melwen	-0.73	MarkusKahlsen (32%), Pablo- (29%), avanderwalde (27%), Ntalakas (27%), ntinta (26%)	timotree (12%), squirrel1988 (10%), XMIL (8%), will.i.am (8%), newduke (7%)
Razvogor	-3.67	axe_y (28%), ZeNertox (24%), charlesfire (18%), micerang (18%)	Libster (13%), Zamiel (12%), Kyle (9%)
Lanvin	-0.57	Valetta6789 (33%), kevincaseytdk1 (32%), wump (31%), macanek (30%), ricardodd (27%)	ChristopheAF (12%), Onen (12%), sephiroth (11%), indego (10%), newduke (5%)
inde	-4.0	none	none
XMIL	-2.8	none	none
Kyle	-1.33	Valetta6789 (28%), Pablo- (28%), micerang (24%), Sucubis (24%), timotree (23%)	pianoblook (11%), Razvogor (9%), will.i.am (8%), lotem (8%), newduke (7%)
ChristopheAF	-2.2	Lel0uch (30%), melwen (25%), rz (24%), frosty104 (20%), Hoodie (15%)	Wittvector (12%), newduke (10%), sephiroth (8%), indego (6%), VerySloppyTwo (5%)
sephiroth	-1.68	Fey (39%), Pablo- (31%), rachyrules (27%), frosty104 (26%), Nitrate2 (25%)	VerySloppyTwo (12%), plus (12%), Lanvin (11%), ChristopheAF (8%), will.i.am (7%)
will.i.am	-4.0	MarkusKahlsen (24%), TheDaniMan (16%), joelwool (14%), pianoblook (13%), plus (13%)	scharkbite (9%), Kyle (8%), melwen (8%), swineherd (7%), sephiroth (7%)
DMoney	-3.6	none	none
newduke	-3.44	timotree (19%), dobi (17%), Hoodie (14%), TimeHoodie (13%), jeff10 (13%)	MangoPie (7%), Kyle (7%), IsabeltheCat (6%), indego (6%), Lanvin (5%)
indego	-3.44	Floriman (18%), frosty104 (16%), TimeHoodie (15%), dobi (15%), Hoodie (14%)	rz (10%), VerySloppyTwo (9%), Wittvector (9%), ChristopheAF (6%), newduke (6%)
Zamiel	-3.45	Sucubis (24%), TimeHoodie (23%), Hoodie (23%), rat (22%), florrat2 (20%)	Fireheart (10%), kimbifille (9%), pianoblook (8%), Romain672 (8%), DMoney (7%)
