Username	Rank	Seek	Avoid
Feich59	-2		
null	-2		
Razgovor	-2		
solarstar92	-2		
forgotmyacct	-2		
DrDrej	-2		
Aluap	-3	whensepoop (24%)	antitelharsic (17%)
Huxley	-3		
joelwool	-3		
griff77	-3		
Krepps57	-3		
Cory	-3		
kooolant	-3		
IsabeltheCat	-4	Lanvin (18%)	4head (6%), newduke (5%)
Livia	-4	Valetta6789 (26%), IAMJEFF (22%), Dr_Kakashi (20%), scharkbite (19%), invarse (19%)	Floriman (18%), Kyle (16%), DMoney (15%), Zamiel (14%), Sucubis (12%)
swineherd	-4	TimeHoodie (26%), Hoodie (25%), MarkusKahlsen (24%), Kyle (19%), asaelr (19%)	TheDaniMan (17%), derekcheah (17%), melwen (15%), sephiroth (14%), will.i.am (7%)
Wittvector	-4	rz (23%), jack67889 (21%), TimeHoodie (19%), Hoodie (19%), MangoPie (18%)	newduke (13%), Lel0uch (13%), ChristopheAF (12%), Lanvin (11%), indego (9%)
william65537	-4		
Andrew_UK	-4		
Durandal	-5	HelanaAshryvr (18%), Lanvin (16%)	squirrel1988 (10%), boba (7%)
pianoblook	-5	piper (36%), kimbifille (32%), ADrone (27%), fishcat (24%), TheDaniMan (22%)	will.i.am (13%), DMoney (13%), sephiroth (12%), Kyle (11%), Zamiel (8%)
RaKXeR	-5	Dr_Kakashi (20%), Kakashi (20%), Fireheart (19%)	florrat2 (15%), Libster (14%), Zamiel (11%)
mattnabi	-5		
Romain672	-5		
FrozenWinters	-5		
antitelharsic	-6	whensepoop (23%), Littleinvad (20%), nitawa (20%)	Pablo- (20%), XMIL (19%), Aluap (17%)
kopen	-6	micerang (40%), scharkbite (21%), Dr_Kakashi (18%), Fireheart (17%)	Valetta6789 (16%), IAMJEFF (16%), Kyle (13%), Zamiel (13%), indego (13%)
catula	-7	sephiroth (17%), Animex52 (14%)	Lel0uch (12%), Sucubis (9%)
Jake_Stiles	-8	scharkbite (22%), Valetta6789 (22%), micerang (22%), asaelr (20%), Kyle (19%)	IAMJEFF (18%), solarstar92 (17%), Zamiel (12%), Fireheart (10%), DMoney (5%)
Fireheart	-9	Valetta6789 (29%), asaelr (27%), micerang (23%), Floriman (23%), Kyle (20%)	Romain672 (16%), Sucubis (16%), Jake_Stiles (10%), Zamiel (10%), DMoney (9%)
squirrel1988	-9	bjnh (17%), HelanaAshryvr (17%), Lanvin (16%)	melwen (11%), Durandal (10%), Lel0uch (10%)
VerySloppyTwo	-9	MangoPie (17%), Lanvin (17%), Lel0uch (12%)	sephiroth (12%), indego (9%), ChristopheAF (5%)
lotem	-10		
Razvogor	-11	axe_y (28%), ZeNertox (24%), charlesfire (18%)	micerang (18%), Libster (13%), Zamiel (12%), Kyle (9%)
melwen	-12	MarkusKahlsen (34%), Pablo- (28%), avanderwalde (27%), Ntalakas (27%), ntinta (26%)	indego (12%), squirrel1988 (11%), XMIL (8%), will.i.am (8%), newduke (7%)
inde	-12		
XMIL	-14		
Kyle	-17	Valetta6789 (28%), Pablo- (28%), micerang (24%), Sucubis (24%), timotree (24%)	pianoblook (11%), Razvogor (9%), will.i.am (8%), lotem (8%), newduke (7%)
Lanvin	-17	Valetta6789 (32%), macanek (30%), kevincaseytdk1 (28%), ricardodd (27%), MarkusKahlsen (25%)	ChristopheAF (11%), Wittvector (11%), sephiroth (11%), indego (10%), newduke (5%)
ChristopheAF	-21	Lel0uch (30%), melwen (26%), rz (24%), frosty104 (20%), Hoodie (15%)	MangoPie (11%), newduke (10%), sephiroth (9%), indego (6%), VerySloppyTwo (5%)
sephiroth	-34	Fey (38%), Pablo- (31%), rachyrules (27%), frosty104 (26%), Nitrate2 (25%)	plus (12%), VerySloppyTwo (12%), Lanvin (11%), ChristopheAF (9%), will.i.am (7%)
will.i.am	-36	MarkusKahlsen (24%), TheDaniMan (16%), joelwool (14%), pianoblook (13%), plus (13%)	scharkbite (9%), Kyle (8%), melwen (8%), swineherd (7%), sephiroth (7%)
DMoney	-36		
newduke	-55	timotree (19%), dobi (16%), Hoodie (14%), jeff10 (14%), TimeHoodie (13%)	melwen (7%), Kyle (7%), indego (6%), IsabeltheCat (5%), Lanvin (5%)
indego	-62	Floriman (18%), frosty104 (16%), TimeHoodie (15%), dobi (14%), Hoodie (14%)	rz (10%), Wittvector (9%), VerySloppyTwo (9%), newduke (6%), ChristopheAF (6%)
Zamiel	-70	Sucubis (24%), TimeHoodie (23%), Hoodie (23%), rat (22%), florrat2 (20%)	Fireheart (10%), kimbifille (9%), pianoblook (8%), Romain672 (8%), DMoney (7%)
