Words	Frequency	Number of vocabularies
\\o/	517	3: Nitrate2, pianoblook, piper
nocm	516	9
!r	516	25
k5	515	30
well	514	26
need	510	28
wrong	508	28
when	507	26
t1	499	29
??	498	22
way	496	24
hope	495	30
tc[cm]	494	3: indego, Nitrate2, timotree
positional	492	25
can't	491	23
???	488	26
imo	482	13
touch	475	28
first	474	27
tempo	473	27
color	469	28
25	465	23
seems	461	24
trust	460	28
fuck	454	19
u2	453	26
turn	446	26
!y	444	23
huh	441	19
any	437	27
pf	435	15
assume	434	21
am	433	28
5[cm]	432	3: indego, Lel0uch, timotree
only	430	27
w1	429	28
cm'd	426	16
an	426	26
u3	423	25
work	423	27
time	420	27
purple	420	30
self	413	27
all	410	26
u5	408	25
>	408	18
read	403	27
dupe	402	22
out	399	25
look	399	25
omg	399	13
w/	399	3: indego, pianoblook, sjdrodge
stale	397	24
[fix]	395	9
t5	394	29
lel	394	12
2b	394	7
---->	392	3: melwen, pianoblook, timotree
:p	391	15
weird	389	23
want	386	23
more	386	21
that's	386	21
isn't	381	23
cannot	379	20
let	377	26
o[cm]	377	2: indego, timotree
possible	376	23
clues	374	28
3b	374	7
!2	373	22
utd	371	25
even	371	25
3g	368	7
oop	364	28
5pp	363	9
both	361	27
w5	360	28
context	360	25
prio'd	360	7
24	360	24
choice	359	26
indego	355	14
345	355	16
been	353	25
last	353	17
idk	352	16
b23	351	23
plz	349	14
thought	349	25
safe	349	24
2g	348	7
discarded	347	24
other	345	26
forgot	345	24
d:	345	8
u4	344	24
focus	343	28
lanvin	340	20
t4:	340	15
gonna	338	19
up	338	27
game	338	24
2r	337	7
8	335	26
needs	335	20
unclued	335	13
r23	333	26
never	332	25
ah	331	18
cards	329	26
t	328	25
t6:	324	13
g23	322	25
rank	321	24
t3:	319	13
!playable	319	4: indego, Lel0uch, pianoblook, timotree
a3	318	27
neg	318	20
t9:	318	12
though	316	19
[kt]	312	11
possibly	310	16
...	309	17
kinda	309	20
t5:	309	11
push	308	28
3s	308	21
again	306	26
should've	306	14
[tcm]	306	6
3r	305	7
u1	303	23
cluing	302	19
intended	302	23
t7:	302	8
had	301	22
pp	300	14
35	300	19
either	299	21
t12:	299	12
tocm	299	15
2s	298	20
af	298	17
a4	296	24
haha	295	13
there	294	21
reclue	291	22
unnecessary	291	23
:/	290	14
which	288	25
t11:	287	12
make	286	28
2y	284	8
piano	283	22
blocking	283	21
prompted	282	16
t8:	281	11
kimbi	279	23
2/3	279	9
4s	278	19
y23	277	25
early	276	27
brown	275	25
elim-->	275	2: asaelr, indego
sf[cm]	275	1: indego
another	274	26
234	274	20
:o	274	11
t10:	273	11
marked	272	17
4r	271	10
pass	268	25
t17:	268	11
unless	267	25
t15:	267	10
4b	267	6
shouldn't	265	21
m23	264	27
t19:	264	11
soft	263	18
4g	263	8
black	262	22
bombs	261	19
t14:	261	11
may	259	21
declined	259	17
uh	256	12
3y	255	8
t13:	254	11
!p	253	20
piper	252	14
discarding	249	23
a2	249	26
she	249	20
priority	247	26
t16:	247	10
going	246	27
i'll	246	18
<--	246	3: indego, MarkusKahlsen, pianoblook
t20:	245	13
t2:	245	11
!5	244	15
your	243	23
draw	239	19
risk	238	24
null	235	20
t21:	235	10
else	234	20
hmmm	233	18
gb	233	19
than	232	24
wasn't	231	21
works	231	23
enough	231	26
makes	230	20
otherwise	230	24
fake	229	21
n	229	18
7	229	18
already	228	22
hard	228	26
interesting	228	21
layered	228	24
illegal	228	25
[5cm]	227	5: indego, Lel0uch, pianoblook, timotree, Zamiel
supposed	226	22
locked	226	26
damn	225	15
rb	225	24
promise	224	19
hesitation	224	19
pretty	223	21
t18:	223	11
hm	221	15
rg	221	19
adrone	220	14
ejection	220	27
crap	220	12
opc	219	25
t1:	219	15
t22:	218	12
kekw	218	7
!3	217	20
g2e	216	10
whoops	215	8
certain	215	24
sin	215	16
loaded	214	25
into	214	20
let's	214	20
technically	212	18
least	212	19
idea	212	24
stephen	211	11
before	210	22
over	210	20
tho	210	12
mel	210	14
shit	209	17
done	209	24
use	209	23
k34	209	18
dr[cm]	208	1: indego
spook	207	9
t26:	207	9
eh	206	10
yikes	206	7
being	205	17
wut	205	11
0	204	22
fillin	204	7
n25	204	20
t23:	203	13
believe	202	25
we're	202	16
5s	201	19
attempted	201	15
stupid	201	15
t25:	201	8
4y	201	7
given	200	20
got	197	22
bombed	197	18
much	196	25
definitely	196	21
sad	196	20
hoping	195	17
l3	195	25
yb	195	16
order	194	24
[ocm]	192	6
im	191	14
lul	191	13
critical	190	23
chance	190	20
6	190	16
2m	189	7
yg	188	20
1b	187	6
thanks	185	18
t28:	185	7
god	184	17
r2e	184	7
sense	183	21
ry	183	19
x	183	7
c2	182	26
shout	182	14
t24:	182	10
try	181	21
confused	181	21
almost	181	21
[5]	180	17
doing	179	25
l4	179	25
dumb	178	16
target	177	16
gotten	176	22
r34	176	21
[cm]?	176	14
b2e	175	10
prefer	175	14
2pp	173	8
t6	172	17
t13	171	13
t8	170	17
l2	170	25
sadge	170	9
g34	170	20
necessary	169	21
spooked	169	6
seph	168	17
y2e	168	9
toss	168	4: IAMJEFF, indego, NoMercy, Sucubis
most	167	22
these	167	18
[g2]	167	11
suspect	166	14
t11	166	17
c4	166	27
c3	166	22
[r2]	166	15
white	165	20
t9	165	16
12	165	18
t29:	165	7
anything	164	23
t30:	164	9
tp	164	11
1g	164	5: indego, kimbifille, Lanvin, Lel0uch, sephiroth
yeah	163	22
[b2]	163	14
lose	162	19
yes	162	24
2p	162	13
b34	162	25
!i	162	16
u[cm]	162	1: indego
nothing	161	21
c	161	16
[r3]	161	16
t10	160	19
useful	160	18
undo	160	9
blaze	159	25
r4e	159	10
won't	159	21
[g3]	159	16
play1	159	2: indego, melwen
feel	158	17
back	158	25
start	158	21
t27:	158	8
unclear	157	10
bluffed	157	21
anyway	157	22
omni	156	25
t12	156	18
t7	156	16
3p	156	11
unlikely	155	20
wow	155	16
g4e	155	8
[b3]	155	16
go	154	24
wanted	154	20
r3e	154	7
1r	154	5: indego, kimbifille, Lanvin, Lel0uch, sephiroth
presumably	152	11
t14	152	19
3m	152	8
mean	151	23
same	151	21
moved	151	19
ever	151	21
certainly	151	17
t31:	151	10
lib	150	7
crit	150	12
kyle	149	22
t23	149	19
prism	149	22
yea	149	3: ADrone, indego, Kyle
